Typ,Artikelnummer,Menge,Bezeichnung
OR,6531 404.501.000,1.0,"Duschgleitstange Alterna fit, 1100 mm, Gelenkhalter, Arretierungshebel,"
,,,
,6211 614.501.000,1.0,"Bademischer-Endmontageset Alterna niù, Abdeckplatte eckig, 220 x 140 mm,"
ALT,6211 614.535.000,1.0,"Bademischer-Endmontageset Alterna niù, Abdeckplatte eckig, 220 x 140 mm,"
ALT,6211 614.149.000,1.0,"Bademischer-Endmontageset Alterna niù, Abdeckplatte eckig, 220 x 140 mm,"
,6252 891.000.000,1.0,"Einbaukörper Alterna più / niù ½"", ohne Vorabsperrung, 2 Anschlüsse ½"", 2"
,6252 898.000.000,1.0,"Befestigungsset Gessi, zu Einbaukörper 6252 859, 6252 891"
,6251 599.501.000,1.0,"Anschlussbogen Alterna / Emporio ½"", Rosette eckig, für Handbrause,"
OR,6252 349.501.000,1.0,"Anschlussbogen Alterna / Emporio ½"", mit integriertem Brausehalter, Rosette"
,6542 316.501.000,1.0,"Brauseschlauch Alterna flexline, 1250 mm, ½""x½"", Kunststoff mit Metalleffekt,"
OR,6542 318.501.000,1.0,"Brauseschlauch Alterna flexline, 1800 mm, ½""x½"", Kunststoff mit Metalleffekt,"
,6541 326.501.000,1.0,"Handbrause Alterna easyline, Ø 101 mm, 1-jet, SoftRain, Einlage des"
,6252 346.501.000,1.0,"Brausehalter Alterna / Emporio, Rosette eckig, Verchromt"
OR,6531 202.501.000,1.0,"Duschgleitstange Alterna / Emporio, Rosetten eckig, Gelenkhalter,"
,,,
,6211 513.501.000,1.0,"Bademischer-Endmontageset Alterna architect S, ohne"
,6158 112.000.000,1.0,"Einbaukörper Laufen Simibox ½"", mit Vorabstellung, Mischer, Abpresszapfen,"
,6158 120.000.000,1.0,"Montageset Laufen Simibox, 2 Montageschienen 560 mm,"
,6544 100.501.000,1.0,"Anschlussbogen Alterna ½"", Rosette rund, für Handbrause, Verchromt"
OR,6544 102.501.000,1.0,"Anschlussbogen Alterna ½"", mit integriertem Brausehalter, Rosette"
,6542 316.501.000,1.0,"Brauseschlauch Alterna flexline, 1250 mm, ½""x½"", Kunststoff mit Metalleffekt,"
