Typ,Artikelnummer,Menge,Bezeichnung
,6171 154.501.000,1.0,"Einlochmischer Laufen Kartell, ohne Ablaufventil, Auslauf fest, A 115 mm,"
,6000 013.000.000,1.0,"Einbaukosten, Einlocharmatur ohne Exzenterventil, Nettopreis"
,,,
,6322 233.501.000,1.0,"Einlochmischer Laufen Meda, ohne Ablaufventil, Auslauf fest, A 110 mm,"
,6000 013.000.000,1.0,"Einbaukosten, Einlocharmatur ohne Exzenterventil, Nettopreis"
,,,
,6322 234.501.000,1.0,"Einlochmischer Laufen Meda, Auslauf fest, A 120 mm, Höhe Mischdüse 195 mm,"
,6000 013.000.000,1.0,"Einbaukosten, Einlocharmatur ohne Exzenterventil, Nettopreis"
,,,
,6323 760.501.000,1.0,"Einlochmischer Laufen Twinplus Slim, Auslauf fest, A 180 mm, Höhe Mischdüse"
,6000 013.000.000,1.0,"Einbaukosten, Einlocharmatur ohne Exzenterventil, Nettopreis"
,,,
,6152 158.501.000,1.0,"Einlochmischer Laufen Swisstap, ohne Ablaufventil, Auslauf fest, A 110 mm,"
,6000 013.000.000,1.0,"Einbaukosten, Einlocharmatur ohne Exzenterventil, Nettopreis"
,,,
,6322 256.501.000,1.0,"Dreilochbatterie Laufen Meda, ohne Ablaufventil, Auslauf fest, rund, A 150"
,6000 015.000.000,1.0,"Einbaukosten, Zwei- und Dreilocharmatur, Nettopreis"
,,,
,6171 156.501.000,1.0,"Dreilochbatterie Laufen Kartell, ohne Ablaufventil, Schwenkauslauf, A 166 mm,"
,6000 015.000.000,1.0,"Einbaukosten, Zwei- und Dreilocharmatur, Nettopreis"
,,,
,6321 567.501.000,1.0,"Einlochmischer Laufen Cityplus Eco+, ohne Ablaufventil, Auslauf fest, A 140"
,6000 013.000.000,1.0,"Einbaukosten, Einlocharmatur ohne Exzenterventil, Nettopreis"
,,,
,6321 566.501.000,1.0,"Einlochmischer Laufen Cityplus Eco+, Ablaufventil, Auslauf fest, A 140 mm,"
,6000 011.000.000,1.0,"Einbaukosten, Einlocharmatur mit Ablaufventil, Zugventil, Nettopreis"
,,,
,6322 231.501.000,1.0,"Einlochmischer Laufen Meda, ohne Ablaufventil, Auslauf fest, A 95 mm,"
,6000 013.000.000,1.0,"Einbaukosten, Einlocharmatur ohne Exzenterventil, Nettopreis"
,,,
,6323 761.501.000,1.0,"Einlochmischer Laufen Twinplus Slim, Auslauf fest, A 180 mm, Höhe Mischdüse"
,6000 013.000.000,1.0,"Einbaukosten, Einlocharmatur ohne Exzenterventil, Nettopreis"
,,,
,6152 863.501.000,1.0,"Wandmischer Laufen Citypro, A 175 mm, AD 153 mm, Schwenkauslauf, ohne"
,,,
,6152 843.501.000,1.0,"Einlochmischer Laufen Citypro, Ablaufventil, Auslauf fest, A 110 mm,"
,6000 011.000.000,1.0,"Einbaukosten, Einlocharmatur mit Ablaufventil, Zugventil, Nettopreis"
,,,
,6152 852.501.000,1.0,"Wandmischer Laufen Citypro, A 125 mm, AD 153 mm, Schwenkauslauf,"
,,,
,6152 850.501.000,1.0,"Einlochmischer Laufen Citypro, Ablaufventil, Schwenkauslauf, A 145 mm,"
,6000 011.000.000,1.0,"Einbaukosten, Einlocharmatur mit Ablaufventil, Zugventil, Nettopreis"
,,,
,6152 853.501.000,1.0,"Wandmischer Laufen Citypro, A 125 mm, AD 153 mm, Schwenkauslauf, ohne"
,,,
,6152 847.501.000,1.0,"Einlochmischer Laufen Citypro, Ablaufventil, Auslauf fest, A 140 mm,"
,6000 011.000.000,1.0,"Einbaukosten, Einlocharmatur mit Ablaufventil, Zugventil, Nettopreis"
,,,
,6152 849.501.000,1.0,"Einlochmischer Laufen Citypro, Auslauf fest, A 140 mm, mit Ablaufventilhebel,"
,,,
,6152 851.501.000,1.0,"Einlochmischer Laufen Citypro, ohne Ablaufventil, Schwenkauslauf, A 145 mm,"
,6000 013.000.000,1.0,"Einbaukosten, Einlocharmatur ohne Exzenterventil, Nettopreis"
,,,
,6152 845.501.000,1.0,"Einlochmischer Laufen Citypro, Ablaufventil, Auslauf fest, A 140 mm,"
,6000 011.000.000,1.0,"Einbaukosten, Einlocharmatur mit Ablaufventil, Zugventil, Nettopreis"
,,,
,6152 841.501.000,1.0,"Einlochmischer Laufen Citypro, Ablaufventil, Auslauf fest, A 110 mm,"
,6000 011.000.000,1.0,"Einbaukosten, Einlocharmatur mit Ablaufventil, Zugventil, Nettopreis"
,,,
,6152 859.501.000,1.0,"Einlochmischer Laufen Citypro, Auslauf fest, A 190 mm, Höhe Mischdüse 239 mm,"
,6000 013.000.000,1.0,"Einbaukosten, Einlocharmatur ohne Exzenterventil, Nettopreis"
,,,
,6152 864.501.000,1.0,"Wandmischer Laufen Citypro, A 225 mm, AD 153 mm, Schwenkauslauf, ohne"
,,,
,6152 844.501.000,1.0,"Einlochmischer Laufen Citypro, ohne Ablaufventil, Auslauf fest, A 110 mm,"
,6000 013.000.000,1.0,"Einbaukosten, Einlocharmatur ohne Exzenterventil, Nettopreis"
,,,
,6152 848.501.000,1.0,"Einlochmischer Laufen Citypro, ohne Ablaufventil, Auslauf fest, A 140 mm,"
,6000 013.000.000,1.0,"Einbaukosten, Einlocharmatur ohne Exzenterventil, Nettopreis"
,,,
,6152 862.501.000,1.0,"Wandmischer Laufen Citypro, A 225 mm, AD 153 mm, Schwenkauslauf,"
,,,
,6152 846.501.000,1.0,"Einlochmischer Laufen Citypro, ohne Ablaufventil, Auslauf fest, A 140 mm,"
,6000 013.000.000,1.0,"Einbaukosten, Einlocharmatur ohne Exzenterventil, Nettopreis"
,,,
,6152 861.501.000,1.0,"Wandmischer Laufen Citypro, A 175 mm, AD 153 mm, Schwenkauslauf,"
,,,
,6152 842.501.000,1.0,"Einlochmischer Laufen Citypro, ohne Ablaufventil, Auslauf fest, A 110 mm,"
,6000 013.000.000,1.0,"Einbaukosten, Einlocharmatur ohne Exzenterventil, Nettopreis"
