Typ,Artikelnummer,Menge,Bezeichnung
,6211 242.501.000,1.0,"Einlochmischer Alterna smart, ohne Ablaufventil, Auslauf fest, A 105 mm,"
,6000 013.000.000,1.0,"Einbaukosten, Einlocharmatur ohne Exzenterventil, Nettopreis"
,,,
,6211 364.501.000,1.0,"Einlochmischer Alterna più, ohne Ablaufventil, Auslauf fest, A 130 mm,"
,6000 013.000.000,1.0,"Einbaukosten, Einlocharmatur ohne Exzenterventil, Nettopreis"
,,,
,6211 370.501.000,1.0,"Einlochmischer Alterna più, Auslauf fest, A 212 mm, Höhe Mischdüse 248 mm,"
,6000 013.000.000,1.0,"Einbaukosten, Einlocharmatur ohne Exzenterventil, Nettopreis"
,,,
,6211 558.501.000,1.0,"Einlochmischer Alterna architect S, Auslauf fest, A 190 mm, Höhe Mischdüse"
,6000 013.000.000,1.0,"Einbaukosten, Einlocharmatur ohne Exzenterventil, Nettopreis"
,,,
,6211 552.501.000,1.0,"Einlochmischer Alterna architect S, ohne Ablaufventil, Schwenkauslauf, A"
,6000 013.000.000,1.0,"Einbaukosten, Einlocharmatur ohne Exzenterventil, Nettopreis"
,,,
,6211 443.501.000,1.0,"Einlochmischer Alterna architect, Ablaufventil, Auslauf fest, A 140 mm,"
,6000 011.000.000,1.0,"Einbaukosten, Einlocharmatur mit Ablaufventil, Zugventil, Nettopreis"
,,,
,6211 442.501.000,1.0,"Einlochmischer Alterna architect, ohne Ablaufventil, Auslauf fest, A 110 mm,"
,6000 013.000.000,1.0,"Einbaukosten, Einlocharmatur ohne Exzenterventil, Nettopreis"
,,,
,6211 667.501.000,1.0,"Einlochmischer Alterna niù, ohne Ablaufventil, Schwenkauslauf, A 150 mm,"
,6000 013.000.000,1.0,"Einbaukosten, Einlocharmatur ohne Exzenterventil, Nettopreis"
,,,
,6211 244.501.000,1.0,"Einlochmischer Alterna smart, ohne Ablaufventil, Auslauf fest, A 130 mm,"
,6000 013.000.000,1.0,"Einbaukosten, Einlocharmatur ohne Exzenterventil, Nettopreis"
,,,
,6211 665.501.000,1.0,"Einlochmischer Alterna niù, Ablaufventil, Schwenkauslauf, A 150 mm,"
,6000 011.000.000,1.0,"Einbaukosten, Einlocharmatur mit Ablaufventil, Zugventil, Nettopreis"
