ArtNr,Label,Brand,Size,Material,Form
1317 154.100.000,"Duschwanne Alterna ecoplan, 900 x 900 x 65 mm, Stahl, Schallisolierung Weiss",Alterna,90 x 90,Stahl-Email,Quadratisch

1317 164.100.000,"Duschwanne Alterna ecoplan, 900 x 900 x 35 mm, Stahl, Schallisolierung Weiss",Alterna,90 x 90,Stahl-Email,Quadratisch

1317 153.100.000,"Duschwanne Alterna ecoplan, 800 x 800 x 65 mm, Stahl, Schallisolierung Weiss",Alterna,80 x 80,Stahl-Email,Quadratisch

1317 163.100.000,"Duschwanne Alterna ecoplan, 800 x 800 x 35 mm, Stahl, Schallisolierung Weiss",Alterna,80 x 80,Stahl-Email,Quadratisch
