ArtNr,Label,Brand,Size,Material,Form
1313 587.100.000,"Duschwanne Kaldewei Superplan Zero, 75 x 130 x 2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,130 x 75,Stahl-Email,Rechteckig

1313 599.100.000,"Duschwanne Kaldewei Superplan Zero, 90 x 150 x 2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,150 x 90,Stahl-Email,Rechteckig

1313 604.100.000,"Duschwanne Kaldewei Superplan Zero, 80 x 160 x 2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,160 x 80,Stahl-Email,Rechteckig

1313 597.100.000,"Duschwanne Kaldewei Superplan Zero, 75 x 150 x 2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,150 x 75,Stahl-Email,Rechteckig

1313 577.100.000,"Duschwanne Kaldewei Superplan Zero, 100 x 110 x 2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,110 x 100,Stahl-Email,Rechteckig

1313 609.100.000,"Duschwanne Kaldewei Superplan Zero, 80 x 170 x 2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,170 x 80,Stahl-Email,Rechteckig

1313 610.100.000,"Duschwanne Kaldewei Superplan Zero, 90 x 170 x 2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,170 x 90,Stahl-Email,Rechteckig

1313 582.100.000,"Duschwanne Kaldewei Superplan Zero, 90 x 120 x 2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,120 x 90,Stahl-Email,Rechteckig

1313 611.100.000,"Duschwanne Kaldewei Superplan Zero, 100 x 170 x 2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,170 x 100,Stahl-Email,Rechteckig

1313 588.100.000,"Duschwanne Kaldewei Superplan Zero, 80 x 130 x 2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,130 x 80,Stahl-Email,Rechteckig

1313 563.100.000,"Duschwanne Kaldewei Superplan Zero, 80 x 80 x 2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,80 x 80,Stahl-Email,Quadratisch

1313 570.100.000,"Duschwanne Kaldewei Superplan Zero, 80 x 100 x 2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,100 x 80,Stahl-Email,Rechteckig

1313 565.100.000,"Duschwanne Kaldewei Superplan Zero, 75 x 90 x 2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,90 x 75,Stahl-Email,Rechteckig
