Typ,Artikelnummer,Menge,Bezeichnung
OR,1461 004.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 3,4 m, 2 Wannen-Eckdichtungen Butyl,"
,1425 567.000.000,1.0,"Duschwanneninstallationsrahmen Laufen Pro S, Breite 900 mm, Länge 1000 - 1400"
,1311 201.000.000,1.0,"Schallschutzset Laufen, für Installationsrahme zur Erfüllung der"
,,,
,1425 551.536.000,1.0,"Duschwanne Laufen Pro S Superflach, 1400 x 900 x 32 mm, Mineralwerkstoff"
ALT,1425 551.841.000,1.0,"Duschwanne Laufen Pro S Superflach, 1400 x 900 x 32 mm, Mineralwerkstoff"
ALT,1425 551.136.000,1.0,"Duschwanne Laufen Pro S Superflach, 1400 x 900 x 32 mm, Mineralwerkstoff"
ALT,1425 551.171.000,1.0,"Duschwanne Laufen Pro S Superflach, 1400 x 900 x 32 mm, Mineralwerkstoff"
,1425 561.000.000,1.0,"Siphon Laufen Pro S, für Duschwannen mit Sperrwasserhöhe 50 mm, ohne"
,1461 002.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 2,5 m, 2 Wannen-Eckdichtungen Butyl,"
OR,1461 004.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 3,4 m, 2 Wannen-Eckdichtungen Butyl,"
,1425 567.000.000,1.0,"Duschwanneninstallationsrahmen Laufen Pro S, Breite 900 mm, Länge 1000 - 1400"
,1311 200.000.000,1.0,"Schallschutzset Laufen, für Installationsrahme zur Erfüllung der"
,,,
,1425 548.536.000,1.0,"Duschwanne Laufen Pro S Superflach, 1300 x 800 x 32 mm, Mineralwerkstoff"
ALT,1425 548.841.000,1.0,"Duschwanne Laufen Pro S Superflach, 1300 x 800 x 32 mm, Mineralwerkstoff"
ALT,1425 548.136.000,1.0,"Duschwanne Laufen Pro S Superflach, 1300 x 800 x 32 mm, Mineralwerkstoff"
ALT,1425 548.171.000,1.0,"Duschwanne Laufen Pro S Superflach, 1300 x 800 x 32 mm, Mineralwerkstoff"
,1425 561.000.000,1.0,"Siphon Laufen Pro S, für Duschwannen mit Sperrwasserhöhe 50 mm, ohne"
,1461 002.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 2,5 m, 2 Wannen-Eckdichtungen Butyl,"
OR,1461 004.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 3,4 m, 2 Wannen-Eckdichtungen Butyl,"
,1425 563.000.000,1.0,"Duschwanneninstallationsrahmen Laufen Pro S, Breite 800 mm, Länge 1000 - 1400"
,1311 200.000.000,1.0,"Schallschutzset Laufen, für Installationsrahme zur Erfüllung der"
,,,
,1425 576.536.000,1.0,"Duschwanne Laufen Pro S Superflach, 1400 x 1000 x 32 mm, Mineralwerkstoff"
ALT,1425 576.841.000,1.0,"Duschwanne Laufen Pro S Superflach, 1400 x 1000 x 32 mm, Mineralwerkstoff"
ALT,1425 576.136.000,1.0,"Duschwanne Laufen Pro S Superflach, 1400 x 1000 x 32 mm, Mineralwerkstoff"
ALT,1425 576.171.000,1.0,"Duschwanne Laufen Pro S Superflach, 1400 x 1000 x 32 mm, Mineralwerkstoff"
,1425 561.000.000,1.0,"Siphon Laufen Pro S, für Duschwannen mit Sperrwasserhöhe 50 mm, ohne"
,1461 142.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 2,8 m, 2 Wannen-Eckdichtungen Butyl,"
OR,1461 005.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 3,6 m, 2 Wannen-Eckdichtungen Butyl,"
,1425 567.000.000,1.0,"Duschwanneninstallationsrahmen Laufen Pro S, Breite 900 mm, Länge 1000 - 1400"
,1311 201.000.000,1.0,"Schallschutzset Laufen, für Installationsrahme zur Erfüllung der"
,,,
,1425 556.536.000,1.0,"Duschwanne Laufen Pro S Superflach, 1700 x 750 x 36 mm, Mineralwerkstoff"
ALT,1425 556.841.000,1.0,"Duschwanne Laufen Pro S Superflach, 1700 x 750 x 36 mm, Mineralwerkstoff"
ALT,1425 556.136.000,1.0,"Duschwanne Laufen Pro S Superflach, 1700 x 750 x 36 mm, Mineralwerkstoff"
ALT,1425 556.171.000,1.0,"Duschwanne Laufen Pro S Superflach, 1700 x 750 x 36 mm, Mineralwerkstoff"
,1425 561.000.000,1.0,"Siphon Laufen Pro S, für Duschwannen mit Sperrwasserhöhe 50 mm, ohne"
,1461 142.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 2,8 m, 2 Wannen-Eckdichtungen Butyl,"
OR,1461 004.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 3,4 m, 2 Wannen-Eckdichtungen Butyl,"
,1425 562.000.000,1.0,"Duschwanneninstallationsrahmen Laufen Pro S, Breite 750 mm, Länge 1400 - 1800"
,1311 201.000.000,1.0,"Schallschutzset Laufen, für Installationsrahme zur Erfüllung der"
,,,
,1425 560.536.000,1.0,"Duschwanne Laufen Pro S Superflach, 2000 x 1000 x 38 mm, Mineralwerkstoff"
ALT,1425 560.841.000,1.0,"Duschwanne Laufen Pro S Superflach, 2000 x 1000 x 38 mm, Mineralwerkstoff"
ALT,1425 560.136.000,1.0,"Duschwanne Laufen Pro S Superflach, 2000 x 1000 x 38 mm, Mineralwerkstoff"
ALT,1425 560.171.000,1.0,"Duschwanne Laufen Pro S Superflach, 2000 x 1000 x 38 mm, Mineralwerkstoff"
,1425 561.000.000,1.0,"Siphon Laufen Pro S, für Duschwannen mit Sperrwasserhöhe 50 mm, ohne"
,1461 004.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 3,4 m, 2 Wannen-Eckdichtungen Butyl,"
OR,1461 008.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 4,8 m, 3 Wannen-Eckdichtungen Butyl,"
,1425 569.000.000,1.0,"Duschwanneninstallationsrahmen Laufen Pro S, Breite 1000 mm, Länge 1800 -"
