ArtNr,Label,Brand,Size,Material,Form
1171 376.536.000,"Duschenwanne Laufen Pro Superflach 160 x 70 x 4,2 cm auch für flächenbündigen Einbau, Ablaufabdeckung Edelstahl lackiert in Wannenfarbe, abnehmbar Ablaufloch Ø 90 mm Ablauf Schmalseite Mitte Mineralwerkstoff Marbond Oberfläche mit Struktur Weiss matt",Laufen,160 x 70,Stahl-Email,Rechteckig

1171 389.536.000,"Duschenwanne Laufen Pro Superflach 140 x 90 x 3 cm auch für flächenbündigen Einbau, Ablaufabdeckung Edelstahl lackiert in Wannenfarbe, abnehmbar Ablaufloch Ø 90 mm Ablauf Längsseite Mitte Mineralwerkstoff Marbond Oberfläche mit Struktur Weiss matt",Laufen,140 x 90,Stahl-Email,Rechteckig

1171 394.536.000,"Duschenwanne Laufen Pro Superflach 160 x 90 x 3,3 cm auch für flächenbündigen Einbau, Ablaufabdeckung Edelstahl lackiert in Wannenfarbe, abnehmbar Ablaufloch Ø 90 mm Ablauf Längsseite Mitte Mineralwerkstoff Marbond Oberfläche mit Struktur Weiss matt",Laufen,160 x 90,Stahl-Email,Rechteckig

1171 393.536.000,"Duschenwanne Laufen Pro Superflach 160 x 80 x 3,2 cm auch für flächenbündigen Einbau, Ablaufabdeckung Edelstahl lackiert in Wannenfarbe, abnehmbar Ablaufloch Ø 90 mm Ablauf Längsseite Mitte Mineralwerkstoff Marbond Oberfläche mit Struktur Weiss matt",Laufen,160 x 80,Stahl-Email,Rechteckig

1171 368.536.000,"Duschenwanne Laufen Pro Superflach 130 x 80 x 4,2 cm auch für flächenbündigen Einbau, Ablaufabdeckung Edelstahl lackiert in Wannenfarbe, abnehmbar Ablaufloch Ø 90 mm Ablauf Schmalseite Mitte Mineralwerkstoff Marbond Oberfläche mit Struktur Weiss matt",Laufen,130 x 80,Stahl-Email,Rechteckig

1171 377.536.000,"Duschenwanne Laufen Pro Superflach 160 x 75 x 4,2 cm auch für flächenbündigen Einbau, Ablaufabdeckung Edelstahl lackiert in Wannenfarbe, abnehmbar Ablaufloch Ø 90 mm Ablauf Schmalseite Mitte Mineralwerkstoff Marbond Oberfläche mit Struktur Weiss matt",Laufen,160 x 75,Stahl-Email,Rechteckig

1311 181.536.000,"Duschenwanne Laufen Pro Superflach 90 x 70 x 3,3 cm auch für flächenbündigen Einbau, Ablaufabdeckung Edelstahl, abnehmbar Ablaufloch Ø 90 mm Ablauf Schmalseite Mitte Mineralwerkstoff Marbond Oberfläche mit Struktur Weiss matt",Laufen,90 x 70,Stahl-Email,Rechteckig

1171 354.536.000,"Duschenwanne Laufen Pro Superflach, 90 x 90 x 3 cm, auch für flächenbündigen Einbau geeignet, Ablaufabdeckung Edelstahl lackiert in Wannenfarbe, abnehmbar, Ablaufloch Ø 90 mm, Mineralwerkstoff Marbond Oberfläche mit Struktur Weiss matt",Laufen,90 x 90,Stahl-Email,Quadratisch

