ArtNr,Label,Brand,Size,Material,Form
1445 716.000.000,"Duschenwannenträger Alterna ecoplan, 800 x 800 x 65 mm, ecoplan/Duschplan, Schmidlin, Höhe 170 mm, zu Duschenwanne, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Alterna,80 x 80,,Quadratisch

1445 727.000.000,"Duschenwannenträger Alterna ecoplan, 900 x 900 x 35 mm, ecoplan, Kaldewei Superplan, Schmidlin, Höhe 140 mm, zu Duschenwanne, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Alterna,90 x 90,,Quadratisch

1445 717.000.000,"Duschenwannenträger Alterna ecoplan, 900 x 900 x 65 mm, ecoplan/Duschplan, Schmidlin, Höhe 170 mm, zu Duschenwanne, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Alterna,90 x 90,,Quadratisch

1445 726.000.000,"Duschenwannenträger Alterna ecoplan, 800 x 800 x 35 mm, ecoplan, Kaldewei Superplan, Schmidlin, Höhe 140 mm, zu Duschenwanne, erfüllt die Anforderungen gemäss der SIA- Norm 271/1 Preisübersicht Unverbindliche Richtpreise Total436.00 geschätzte Transportkosten17.00 8.1 % MWSt36.68 Rundungsdifferenz0.02 Gesamtbetrag inkl. MwSt. in CHF 489.70 Preisänderung vorbehalten",Alterna,80 x 80,,Quadratisch
