ArtNr,Label,Brand,Size,Material,Form
1311 701.000.000,"Ablaufgarnitur Schmidlin Flow 50, Ø 90 mm Ablaufleistung 0,55 l/s ohne Ablaufdeckel",Andere,,,

1311 698.501.000,"Ablaufhaube zu Tempoplex / Floor/ Contura, zu Duschenwannengarnitur 1311 701 / 1422 223 / 1422 213 Verchromt",Andere,,,
