ArtNr,Label,Brand,Size,Material,Form
1313 121.100.000,"Duschenwanne Kaldewei Sanidusch, 80 x 80 x 14 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,80 x 80,Stahl-Email,

1313 122.100.000,"Duschenwanne Kaldewei Sanidusch, 90 x 90 x 14 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,90 x 90,Stahl-Email,

1313 142.100.000,"Duschenwanne Kaldewei Sanidusch, 90 x 75 x 14 cm, Stahl, Schallisolierung, Ablauf Längsseite vorne rechts Umweltdeklaration EPD Weiss",Kaldewei,90 x 75,Stahl-Email,

1313 141.100.000,"Duschenwanne Kaldewei Sanidusch, 80 x 75 x 14 cm, Stahl, Schallisolierung, Ablauf Längsseite vorne rechts Umweltdeklaration EPD Weiss",Kaldewei,80 x 75,Stahl-Email,
