ArtNr,Label,Brand,Size,Material,Form
1441 357.000.000,"Duschenwannenträger Schedel, 900 x 800 x 20 mm, Höhe 140 mm, Kaldewei Superplan Zero, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 589.000.000,"Duschenwannenträger Schedel, 900 x 700 x 65 mm, Höhe 170 mm, Schmidlin, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,

1441 366.000.000,"Duschenwannenträger Schedel, 1100 x 800 x 20 mm, Höhe 140 mm, Kaldewei Superplan Zero, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 636.000.000,"Duschenwannenträger Schedel, 900 x 700 x 25 mm, Höhe 140 mm, Kaldewei Superplan, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 359.000.000,"Duschenwannenträger Schedel, 1000 x 700 x 20 mm, Höhe 140 mm, Kaldewei Superplan Zero, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 656.000.000,"Duschenwannenträger Schedel, 1400 x 1000 x 25 mm, Höhe 140 mm, Kaldewei Superplan, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 616.000.000,"Duschenwannenträger Schedel, 1200 x 900 x 35 mm, Höhe 140 mm, Schmidlin, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,

1441 659.000.000,"Duschenwannenträger Schedel, 1500 x 750 x 25 mm, Höhe 140 mm, Kaldewei Superplan, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 052.000.000,"Duschenwannenträger Schedel, 1600 x 700 x 32 mm, Höhe 100 mm, Kaldewei Calima, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 588.000.000,"Duschenwannenträger Schedel, 800 x 750 x 65 mm, Höhe 170 mm, Schmidlin, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,

1441 035.000.000,"Duschenwannenträger Schedel, 1200 x 750 x 32 mm, Höhe 100 mm, Kaldewei Calima, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 390.000.000,"Duschenwannenträger Schedel, 1500 x 900 x 20 mm, Höhe 140 mm, Kaldewei Superplan Zero, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 631.000.000,"Duschenwannenträger Schedel, 1000 x 800 x 65 mm, Höhe 170 mm, Schmidlin, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,

1441 653.000.000,"Duschenwannenträger Schedel, 1300 x 900 x 25 mm, Höhe 140 mm, Kaldewei Superplan, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 046.000.000,"Duschenwannenträger Schedel, 1400 x 900 x 32 mm, Höhe 100 mm, Kaldewei Calima, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 614.000.000,"Duschenwannenträger Schedel, 1200 x 750 x 35 mm, Höhe 140 mm, Schmidlin, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,

1441 403.000.000,"Duschenwannenträger Schedel, 1800 x 800 x 20 mm, Höhe 140 mm, Kaldewei Superplan Zero, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

