Typ,Artikelnummer,Menge,Bezeichnung
,1111 319.100.000,1.0,"Badewanne Schmidlin Swiss Line Duo, 180 x 80 cm, Stahl, Schallisolierung, Tiefe"
,1431 165.000.000,1.0,"Badewannen-Montageset Schmidlin Swiss Line Duo, mit Wannengarnitur Geberit,"
OR,1431 166.000.000,1.0,"Badewannen-Montageset Schmidlin Swiss Line Duo, mit Wanneneinlaufgarnitur"
,,,
,1111 318.100.000,1.0,"Badewanne Schmidlin Swiss Line Duo, 170 x 75 cm, Stahl, Schallisolierung, Tiefe"
OR,1431 165.000.000,1.0,"Badewannen-Montageset Schmidlin Swiss Line Duo, mit Wannengarnitur Geberit,"
,1431 166.000.000,1.0,"Badewannen-Montageset Schmidlin Swiss Line Duo, mit Wanneneinlaufgarnitur"
