ArtNr,Label,Brand,Size,Material,Form
1313 285.000.000,"Stelzfüsse Kaldewei, Set à 4 Stück, für Duschenwannen Kaldewei Calima",Kaldewei,,,

1441 791.000.000,"Montageschaum Alterna, zu Bade- und Duschenwannenträger, Kartusche 400 ml",Alterna,,,

1313 277.501.000,"Duschwannengarnitur Kaldewei KA 300, Abgang waagrecht Ø 50 mm, inkl, Haarfangsieb Verchromt",Kaldewei,,,

1313 274.000.000,"Duschwannengarnitur Kaldewei KA 120 Mod. 4106 waagrecht, ohne Ablaufdeckel, Abgang waagrecht Ø 50 mm, Ablaufleistung 0,85 l/s (Sperrwasserhöhe 50 mm), mit verschlossenem Kriechwasseranschluss, inkl. Haarfangsieb Preisübersicht Unverbindliche Richtpreise Total238.00 geschätzte Transportkosten9.90 8.1 % MWSt20.08 Rundungsdifferenz0.02 Gesamtbetrag inkl. MwSt. in CHF 268.00 Preisänderung vorbehalten Unverbindliche Richtpreise Bei den Preisangaben handelt es sich um unverbindliche Richtpreise. Auf diese unverbindlichen Richtpreise gibt Sanitas Troesch den Installateur-Unternehmen individuelle Einkaufsrabatte. Die unverbindlichen Richtpreise sind für Installateur-Unternehmen nicht bindend. Die Installateur-Unternehmen legen die Verkaufspreise an ihre Kunden vollkommen frei und im eigenen Ermessen fest.",Kaldewei,,,
