Typ,Artikelnummer,Menge,Bezeichnung
,1171 402.536.000,1.0,"Duschwanne Laufen Pro Superflach, 200 x 100 x 3,6 cm, auch für flächenbündigen"
ALT,1171 402.241.000,1.0,"Duschwanne Laufen Pro Superflach, 200 x 100 x 3,6 cm, auch für flächenbündigen"
ALT,1171 402.841.000,1.0,"Duschwanne Laufen Pro Superflach, 200 x 100 x 3,6 cm, auch für flächenbündigen"
ALT,1171 402.136.000,1.0,"Duschwanne Laufen Pro Superflach, 200 x 100 x 3,6 cm, auch für flächenbündigen"
ALT,1171 402.535.000,1.0,"Duschwanne Laufen Pro Superflach, 200 x 100 x 3,6 cm, auch für flächenbündigen"
,1171 405.000.000,1.0,"Duschwannengarnitur Laufen Pro, für Ablaufloch Ø 90 mm, ohne Ablaufhaube,"
,1461 004.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 3,4 m, 2 Wannen-Eckdichtungen Butyl,"
OR,1461 008.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 4,8 m, 3 Wannen-Eckdichtungen Butyl,"
,1311 196.000.000,1.0,"Duschwanneninstallationsrahmen Laufen Ineo, Breite 1000 mm, 1800 - 2000 mm,"
,1311 201.000.000,1.0,"Schallschutzset Laufen, für Installationsrahme zur Erfüllung der"
,,,
,1171 392.536.000,1.0,"Duschwanne Laufen Pro Superflach, 160 x 75 x 3,2 cm, auch für flächenbündigen"
ALT,1171 392.241.000,1.0,"Duschwanne Laufen Pro Superflach, 160 x 75 x 3,2 cm, auch für flächenbündigen"
ALT,1171 392.841.000,1.0,"Duschwanne Laufen Pro Superflach, 160 x 75 x 3,2 cm, auch für flächenbündigen"
ALT,1171 392.136.000,1.0,"Duschwanne Laufen Pro Superflach, 160 x 75 x 3,2 cm, auch für flächenbündigen"
ALT,1171 392.535.000,1.0,"Duschwanne Laufen Pro Superflach, 160 x 75 x 3,2 cm, auch für flächenbündigen"
,1171 405.000.000,1.0,"Duschwannengarnitur Laufen Pro, für Ablaufloch Ø 90 mm, ohne Ablaufhaube,"
,1461 002.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 2,5 m, 2 Wannen-Eckdichtungen Butyl,"
OR,1461 004.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 3,4 m, 2 Wannen-Eckdichtungen Butyl,"
,1311 186.000.000,1.0,"Duschwanneninstallationsrahmen Laufen Ineo, Breite 750 mm, 1400 - 1800 mm,"
,1311 201.000.000,1.0,"Schallschutzset Laufen, für Installationsrahme zur Erfüllung der"
,,,
,1171 374.536.000,1.0,"Duschwanne Laufen Pro Superflach, 150 x 80 x 4,2 cm, auch für flächenbündigen"
ALT,1171 374.241.000,1.0,"Duschwanne Laufen Pro Superflach, 150 x 80 x 4,2 cm, auch für flächenbündigen"
ALT,1171 374.841.000,1.0,"Duschwanne Laufen Pro Superflach, 150 x 80 x 4,2 cm, auch für flächenbündigen"
ALT,1171 374.136.000,1.0,"Duschwanne Laufen Pro Superflach, 150 x 80 x 4,2 cm, auch für flächenbündigen"
ALT,1171 374.535.000,1.0,"Duschwanne Laufen Pro Superflach, 150 x 80 x 4,2 cm, auch für flächenbündigen"
,1171 405.000.000,1.0,"Duschwannengarnitur Laufen Pro, für Ablaufloch Ø 90 mm, ohne Ablaufhaube,"
,1461 002.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 2,5 m, 2 Wannen-Eckdichtungen Butyl,"
OR,1461 004.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 3,4 m, 2 Wannen-Eckdichtungen Butyl,"
,1311 189.000.000,1.0,"Duschwanneninstallationsrahmen Laufen Ineo, Breite 800 mm, 1400 - 1800 mm,"
,1311 201.000.000,1.0,"Schallschutzset Laufen, für Installationsrahme zur Erfüllung der"
,,,
,1171 390.536.000,1.0,"Duschwanne Laufen Pro Superflach, 140 x 100 x 3 cm, auch für flächenbündigen"
ALT,1171 390.241.000,1.0,"Duschwanne Laufen Pro Superflach, 140 x 100 x 3 cm, auch für flächenbündigen"
ALT,1171 390.841.000,1.0,"Duschwanne Laufen Pro Superflach, 140 x 100 x 3 cm, auch für flächenbündigen"
ALT,1171 390.136.000,1.0,"Duschwanne Laufen Pro Superflach, 140 x 100 x 3 cm, auch für flächenbündigen"
ALT,1171 390.535.000,1.0,"Duschwanne Laufen Pro Superflach, 140 x 100 x 3 cm, auch für flächenbündigen"
,1171 405.000.000,1.0,"Duschwannengarnitur Laufen Pro, für Ablaufloch Ø 90 mm, ohne Ablaufhaube,"
,1461 002.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 2,5 m, 2 Wannen-Eckdichtungen Butyl,"
OR,1461 005.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 3,6 m, 2 Wannen-Eckdichtungen Butyl,"
,1311 194.000.000,1.0,"Duschwanneninstallationsrahmen Laufen Ineo, Breite 1000 mm, 1000 - 1400 mm,"
,1311 200.000.000,1.0,"Schallschutzset Laufen, für Installationsrahme zur Erfüllung der"
,,,
,1171 371.536.000,1.0,"Duschwanne Laufen Pro Superflach, 140 x 80 x 4,2 cm, auch für flächenbündigen"
ALT,1171 371.241.000,1.0,"Duschwanne Laufen Pro Superflach, 140 x 80 x 4,2 cm, auch für flächenbündigen"
ALT,1171 371.841.000,1.0,"Duschwanne Laufen Pro Superflach, 140 x 80 x 4,2 cm, auch für flächenbündigen"
ALT,1171 371.136.000,1.0,"Duschwanne Laufen Pro Superflach, 140 x 80 x 4,2 cm, auch für flächenbündigen"
ALT,1171 371.535.000,1.0,"Duschwanne Laufen Pro Superflach, 140 x 80 x 4,2 cm, auch für flächenbündigen"
,1171 405.000.000,1.0,"Duschwannengarnitur Laufen Pro, für Ablaufloch Ø 90 mm, ohne Ablaufhaube,"
,1461 002.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 2,5 m, 2 Wannen-Eckdichtungen Butyl,"
OR,1461 004.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 3,4 m, 2 Wannen-Eckdichtungen Butyl,"
,1311 188.000.000,1.0,"Duschwanneninstallationsrahmen Laufen Ineo, Breite 800 mm, 1000 - 1400 mm,"
,1311 200.000.000,1.0,"Schallschutzset Laufen, für Installationsrahme zur Erfüllung der"
,,,
,1311 182.536.000,1.0,"Duschwanne Laufen Pro Superflach, 100 x 70 x 3,3 cm, auch für flächenbündigen"
ALT,1311 182.241.000,1.0,"Duschwanne Laufen Pro Superflach, 100 x 70 x 3,3 cm, auch für flächenbündigen"
ALT,1311 182.841.000,1.0,"Duschwanne Laufen Pro Superflach, 100 x 70 x 3,3 cm, auch für flächenbündigen"
ALT,1311 182.136.000,1.0,"Duschwanne Laufen Pro Superflach, 100 x 70 x 3,3 cm, auch für flächenbündigen"
ALT,1311 182.535.000,1.0,"Duschwanne Laufen Pro Superflach, 100 x 70 x 3,3 cm, auch für flächenbündigen"
,1171 405.000.000,1.0,"Duschwannengarnitur Laufen Pro, für Ablaufloch Ø 90 mm, ohne Ablaufhaube,"
,1461 001.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 2 m, 2 Wannen-Eckdichtungen Butyl,"
OR,1461 002.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 2,5 m, 2 Wannen-Eckdichtungen Butyl,"
,1311 183.000.000,1.0,"Duschwanneninstallationsrahmen Laufen Ineo, Breite 700 mm, 600 - 1000 mm,"
,1311 200.000.000,1.0,"Schallschutzset Laufen, für Installationsrahme zur Erfüllung der"
,,,
,1171 362.536.000,1.0,"Duschwanne Laufen Pro Superflach, 110 x 90 x 3,3 cm, auch für flächenbündigen"
ALT,1171 362.241.000,1.0,"Duschwanne Laufen Pro Superflach, 110 x 90 x 3,3 cm, auch für flächenbündigen"
ALT,1171 362.841.000,1.0,"Duschwanne Laufen Pro Superflach, 110 x 90 x 3,3 cm, auch für flächenbündigen"
ALT,1171 362.136.000,1.0,"Duschwanne Laufen Pro Superflach, 110 x 90 x 3,3 cm, auch für flächenbündigen"
ALT,1171 362.535.000,1.0,"Duschwanne Laufen Pro Superflach, 110 x 90 x 3,3 cm, auch für flächenbündigen"
,1171 405.000.000,1.0,"Duschwannengarnitur Laufen Pro, für Ablaufloch Ø 90 mm, ohne Ablaufhaube,"
,1461 002.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 2,5 m, 2 Wannen-Eckdichtungen Butyl,"
OR,1461 003.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 3 m, 2 Wannen-Eckdichtungen Butyl,"
,1311 191.000.000,1.0,"Duschwanneninstallationsrahmen Laufen Ineo, Breite 900 mm, 1000 - 1400 mm,"
,1311 200.000.000,1.0,"Schallschutzset Laufen, für Installationsrahme zur Erfüllung der"
,,,
,1171 413.536.000,1.0,"Duschwanne Laufen Pro Superflach, 200 x 100 x 4,6 cm, Ablauf Schmalseite Mitte,"
ALT,1171 413.241.000,1.0,"Duschwanne Laufen Pro Superflach, 200 x 100 x 4,6 cm, Ablauf Schmalseite Mitte,"
ALT,1171 413.841.000,1.0,"Duschwanne Laufen Pro Superflach, 200 x 100 x 4,6 cm, Ablauf Schmalseite Mitte,"
ALT,1171 413.136.000,1.0,"Duschwanne Laufen Pro Superflach, 200 x 100 x 4,6 cm, Ablauf Schmalseite Mitte,"
ALT,1171 413.535.000,1.0,"Duschwanne Laufen Pro Superflach, 200 x 100 x 4,6 cm, Ablauf Schmalseite Mitte,"
,1171 405.000.000,1.0,"Duschwannengarnitur Laufen Pro, für Ablaufloch Ø 90 mm, ohne Ablaufhaube,"
,1461 004.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 3,4 m, 2 Wannen-Eckdichtungen Butyl,"
OR,1461 008.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 4,8 m, 3 Wannen-Eckdichtungen Butyl,"
