Article Number,Label,Manufacturer,Size
"1113 162.100.000","Badewanne Kaldewei Vaioduo, 180 x 80 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss","Kaldewei","180 x 80"
"1113 213.100.000","Badewanne Kaldewei Dynaset, 150 x 75 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss","Kaldewei","150 x 75"
"1111 233.100.000","Badewanne Schmidlin Norm Classic mit Zargen, 170 x 70 cm, Ablauf links, Zargen hinten und rechts, Stahl, Schallisolierung, Tiefe 45 cm Weiss","Schmidlin","170 x 70"
"1111 283.100.000","Badewanne Schmidlin Sola, 190 x 90 cm, Stahl, Schallisolierung, Tiefe 45 cm Weiss","Schmidlin","190 x 90"
"1122 210.100.000","Badewanne Hoesch Happy D. 180 x 80 cm, Vorderfront angeformt, Montagegestell Frontecken abgerundet Kunststoff Acryl Weiss","Hoesch","180 x 80"
"1117 254.100.000","Badewanne Alterna steel set, 180 x 80 cm, Nutzinhalt 135 Liter, Rückenteil rechts, Überlauf vorne, Stahl, Schallisolierung, Tiefe 43 cm Weiss","Alterna","180 x 80"
"1144 272.100.185","Badewanne Kaldewei Puro Next, 1900 x 900 mm, Tiefe 410 mm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Invisible Grip","Kaldewei","190 x 90"
"1113 484.100.000","Badewanne Kaldewei Silenio, 190 x 90 cm, Tiefe 43,5 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss","Kaldewei","190 x 90"
"1111 229.100.000","Badewanne Schmidlin Norm Classic mit Zargen, 170 x 75 cm, Ablauf links, Zargen vorne und links, Stahl, Schallisolierung, Tiefe 45 cm Weiss","Schmidlin","170 x 75"
"1113 136.100.000","Badewanne Kaldewei Vaio Star- Griff, 170 x 80 cm, Rückenteil rechts, Überlauf vorne, Stahl, Schallisolierung, ohne Griffe Umweltdeklaration EPD Weiss","Kaldewei","170 x 80"
"1113 326.100.000","Badewanne Kaldewei Classic Duo, 180 x 75 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss","Kaldewei","180 x 75"
"1113 150.100.000","Badewanne Kaldewei Vaio Set Star- Griff, 160 x 70 cm, Rückenteil links, Überlauf vorne, Stahl, Schallisolierung, ohne Griffe Umweltdeklaration EPD Weiss","Kaldewei","160 x 70"
"1111 148.100.000","Badewanne Schmidlin Duett Vario, 166 - 182 x 69 - 84 x 42 cm, Stahl, Schallisolierung, (Masse in 1 cm Schritten frei wählbar) Weiss","Schmidlin","84 x 42"
"1111 221.100.000","Badewanne Schmidlin Norm Classic mit Zargen, 168 x 70 cm, Ablauf links, Zarge hinten, rechts und links, Stahl, Schallisolierung, Tiefe 45 cm Weiss","Schmidlin","168 x 70"
"1111 162.100.000","Badewanne Schmidlin Amena 180 x 80 Tiefe 42 cm Stahl, Schallisolierung Weiss","Schmidlin","180 x 80"
"1111 231.100.000","Badewanne Schmidlin Norm Classic mit Zargen, 170 x 70 cm, Ablauf links, Zarge hinten, Stahl, Schallisolierung, Tiefe 45 cm Weiss","Schmidlin","170 x 70"
"1111 683.100.000","Badewanne Schmidlin Viva, 180 x 80 cm, Schallisolierung, Stahl, Tiefe 45 cm Weiss","Schmidlin","180 x 80"
"1111 223.100.000","Badewanne Schmidlin Norm Classic mit Zargen, 170 x 75 cm, Ablauf links, Zarge hinten, Stahl, Schallisolierung, Tiefe 45 cm Weiss","Schmidlin","170 x 75"
"1111 406.100.000","Badewanne Schmidlin Ella Oval Shape, freistehend, 180 x 100 x 45 cm, mit nahtlos emaillierter Schürze, inkl. Ab- und Überlaufgarnitur Multiplex, vormontiert, inkl. flexiblem Schlauch zum Anschluss der Ablaufgarnitur, Ablaufloch Ø 52 mm, Gesamthöhe 57.5 cm Weiss","Schmidlin","100 x 45"
"1111 783.100.000","Badewanne Schmidlin Viva X 180 x 80 cm, Tiefe 45 cm Randhöhe 8 mm Schallisolierung, Stahl Weiss","Schmidlin","180 x 80"
"1111 587.100.000","Badewanne Schmidlin Purista, 180 x 90 cm, Fussteil beidseitig, Stahl, Schallisolierung, Tiefe 45 cm, Überlauf vorne Weiss","Schmidlin","180 x 90"
"1111 237.100.000","Badewanne Schmidlin Norm Classic mit Zargen, 170 x 70 cm, Ablauf links, Zargen vorne und links, Stahl, Schallisolierung, Tiefe 45 cm Weiss","Schmidlin","170 x 70"
"1144 277.100.185","Badewanne Kaldewei Puro Next Star, 1800 x 800 mm, Tiefe 410 mm, für Griffmontage, Griffe gegen Aufpreis, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Invisible Grip","Kaldewei","180 x 80"
"1144 273.100.185","Badewanne Kaldewei Puro Next Star, 1600 x 700 mm, Tiefe 410 mm, für Griffmontage, Griffe gegen Aufpreis, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Invisible Grip","Kaldewei","160 x 70"
"1111 238.100.000","Badewanne Schmidlin Norm Classic mit Zargen, 170 x 70 cm, Ablauf links, Zargen vorne, rechts und links, Stahl, Schallisolierung, Tiefe 45 cm Weiss","Schmidlin","170 x 70"
"1111 140.100.000","Badewanne Schmidlin Norm Classic Vario, 140 - 155 x 70 - 80 x 44 cm, Stahl, Schallisolierung, (Masse in 1 cm Schritten frei wählbar) Weiss","Schmidlin","80 x 44"
"1144 296.100.000","Badewanne Kaldewei Puro Next Duo, 1800 x 800 mm, mit Grifflöchern, Tiefe 410 mm, mit einseitigen Grifflöchern gegenüber des Überlaufs, Stahl, Schallisolierung Umweltdeklaration EPD Weiss","Kaldewei","180 x 80"
"1111 400.100.000","Badewanne Schmidlin Form, 160 x 75 cm, Stahl, Schallisolierung, Tiefe 42 cm Weiss","Schmidlin","160 x 75"
"1111 216.100.000","Badewanne Schmidlin Norm Classic mit Zargen, 160 x 70 cm, Ablauf links, Zargen vorne und rechts, Stahl, Schallisolierung, Tiefe 45 cm Weiss","Schmidlin","160 x 70"
"1124 662.100.000","Badewanne Duravit Starck, 170 x 75 cm, Kunststoff Acryl Umweltdeklaration EPD Weiss","Duravit","170 x 75"
"1111 244.100.000","Badewanne Schmidlin Norm Classic mit Zargen, 180 x 80 cm, Ablauf links, Zargen hinten, rechts und links, Stahl, Schallisolierung, Tiefe 45 cm Weiss","Schmidlin","180 x 80"
"1111 313.100.000","Badewanne Schmidlin Swiss Line 170 x 70 cm, Tiefe 42 cm Stahl, Schallisolierung Weiss","Schmidlin","170 x 70"
"1111 114.100.000","Badewanne Schmidlin Norm Classic, 168 x 75 cm, Tiefe 45 cm, Stahl, Schallisolierung Weiss","Schmidlin","168 x 75"
"1144 290.100.000","Badewanne Kaldewei Puro Next Combi, 1800 x 800 mm, Rückenteil rechts, Tiefe 410 mm, mit seitlichem Überlauf, Stahl, Schallisolierung Umweltdeklaration EPD Weiss","Kaldewei","180 x 80"
"1111 684.100.000","Badewanne Schmidlin Viva, 190 x 90 cm, Schallisolierung, Stahl, Tiefe 45 cm Weiss","Schmidlin","190 x 90"
"1111 239.100.181","Badewanne Schmidlin Ocean 150 x 70 x Tiefe 45 cm Duschteil rechts Schallisolierung, Stahl Weiss Gleitschutz Antigliss Pro","Schmidlin","150 x 70"
"1111 586.100.000","Badewanne Schmidlin Purista, 180 x 80 cm, Fussteil rechts, Stahl, Schallisolierung, Tiefe 45 cm, Überlauf vorne Weiss","Schmidlin","180 x 80"
"1111 568.100.000","Badewanne Schmidlin Duett, 190 x 90 cm, Stahl, Schallisolierung, Tiefe 42 cm Weiss","Schmidlin","190 x 90"
"1111 500.100.000","Badewanne Schmidlin Kombi, 150 x 75 cm, Stahl, Schallisolierung, Tiefe 38 cm Weiss","Schmidlin","150 x 75"
"1111 512.100.000","Badewanne Schmidlin Superkombi, 170 x 80 cm, Armlehne, Stahl, Schallisolierung, Tiefe 42 cm Weiss","Schmidlin","170 x 80"
"1113 166.100.000","Badewanne Kaldewei Cayono Duo, 180 x 80 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss","Kaldewei","180 x 80"
"1113 126.100.000","Badewanne Kaldewei Vaio, 170 x 80 cm, Rückenteil rechts, Überlauf vorne, Stahl, Schallisolierung Umweltdeklaration EPD Weiss","Kaldewei","170 x 80"
"1111 596.100.000","Badewanne Schmidlin Purista 180 x 80 cm, Tiefe 45 cm Fussteil links, Überlauf vorne Schallisolierung, Stahl Weiss","Schmidlin","180 x 80"
"1111 511.100.000","Badewanne Schmidlin Superkombi, 170 x 75 cm, Armlehne, Stahl, Schallisolierung, Tiefe 42 cm Weiss","Schmidlin","170 x 75"
"1121 527.100.000","Badewanne Alterna marea, 180 x 80 cm, Tiefe 46 cm, mit zwei Rückenschrägen, Nutzinhalt 181 Liter, Kunststoff Acryl Weiss","Alterna","180 x 80"
"1111 311.100.000","Badewanne Schmidlin Swiss Line 160 x 70 cm, Tiefe 42 cm Stahl, Schallisolierung Weiss","Schmidlin","160 x 70"
"1111 250.100.000","Badewanne Schmidlin Ocean Vario, 150 - 157 x 68 - 77 cm, Duschteil links, Stahl, Schallisolierung, Tiefe 45 cm, (Masse in 1 cm Schritten frei wählbar) Weiss","Schmidlin","157 x 68"
"1111 694.100.000","Badewanne Schmidlin Cubic, 180 x 90 cm, Schallisolierung, Stahl, Tiefe 45 cm, Ablaufloch Ø 90 mm Weiss","Schmidlin","180 x 90"
"1111 577.100.000","Badewanne Schmidlin Ocean, 170 x 75 cm, Duschteil rechts, Stahl, Schallisolierung, Tiefe 45 cm Weiss","Schmidlin","170 x 75"
"1111 441.100.000","Badewanne Schmidlin Kombinett, 170 x 70 cm, Stahl, Schallisolierung, Tiefe 39 cm Weiss","Schmidlin","170 x 70"
"1111 154.100.000","Badewanne Schmidlin Ocean Vario, 158 - 167 x 68 - 75 cm, Duschteil links, Stahl, Schallisolierung, Tiefe 45 cm, (Masse in 1 cm Schritten frei wählbar) Weiss","Schmidlin","167 x 68"
"1113 154.100.000","Badewanne Kaldewei Vaio Set Star- Griff, 170 x 75 cm, Rückenteil rechts, Überlauf vorne, Stahl, Schallisolierung, ohne Griffe Umweltdeklaration EPD Weiss","Kaldewei","170 x 75"
"1111 631.100.000","Badewanne Schmidlin Bambino, 157 x 70/55 cm, Ablauf links, Stahl, Schallisolierung, Tiefe 42 cm Weiss","Schmidlin","157 x 70"
"1111 559.100.000","Badewanne Schmidlin Duett, 190 x 80 cm, Stahl, Schallisolierung, Tiefe 42 cm Weiss","Schmidlin","190 x 80"
"1111 491.100.000","Badewanne Schmidlin Kombi- Griff, 160 x 75 cm, Stahl, Schallisolierung, Tiefe 38 cm, ohne Griffe Weiss","Schmidlin","160 x 75"
"1111 291.100.000","Badewanne Schmidlin Sola 190 x 90 cm, Tiefe 45 cm Duschteil rechts Überlauf vorne Schallisolierung, Stahl Weiss","Schmidlin","190 x 90"
"1111 802.100.000","Badewanne Schmidlin Loft freistehend, 180 x 75 cm, Stahl, mit angeformter emaillierter Schürze, Ab- und Überlaufgarnitur Loft / - Trio vormontiert, verchromt, (separat zu bestellen), Höhe 56 cm, Füllmenge 318 Liter Weiss","Schmidlin","180 x 75"
"1111 155.100.000","Badewanne Schmidlin Ocean Vario, 158 - 167 x 68 - 75 cm, Duschteil rechts, Stahl, Schallisolierung, Tiefe 45 cm, (Masse in 1 cm Schritten frei wählbar) Weiss","Schmidlin","167 x 68"
"1111 248.100.000","Badewanne Schmidlin Norm Classic mit Zargen, 180 x 80 cm, Ablauf links, Zargen vorne, rechts und links, Stahl, Schallisolierung, Tiefe 45 cm Weiss","Schmidlin","180 x 80"
"1111 651.100.000","Badewanne Schmidlin Contura Duo, 160 x 70 cm, Stahl, Schallisolierung, Tiefe 45 cm Weiss","Schmidlin","160 x 70"
"1111 290.100.000","Badewanne Schmidlin Sola 190 x 90 cm, Tiefe 45 cm Duschteil links Überlauf vorne Schallisolierung, Stahl Weiss","Schmidlin","190 x 90"
"1111 241.100.000","Badewanne Schmidlin Norm Classic mit Zargen, 180 x 80 cm, Ablauf links, Zarge hinten, Stahl, Schallisolierung, Tiefe 45 cm Weiss","Schmidlin","180 x 80"
"1113 125.100.000","Badewanne Kaldewei Vaio, 170 x 80 cm, Rückenteil links, Überlauf vorne, Stahl, Schallisolierung Umweltdeklaration EPD Weiss","Kaldewei","170 x 80"
"1111 496.100.000","Badewanne Schmidlin Kombi- Griff, 180 x 80 cm, Stahl, Schallisolierung, Tiefe 38 cm, ohne Griffe Weiss","Schmidlin","180 x 80"
"1111 285.100.000","Badewanne Schmidlin Sola 170 x 75 cm, Tiefe 45 cm Duschteil rechts Überlauf vorne Schallisolierung, Stahl Weiss","Schmidlin","170 x 75"
