Article Number,Label,Manufacturer,Size
"1124 128.100.000","Badewanne Duscholux Piccolo, 175 x 75 cm, Ablauf rechts, Mod. 173, Kunststoff Acryl Weiss","Duscholux","175 x 75"
"1111 647.100.000","Badewanne Schmidlin Contura Comfort, 190 x 90 cm, Stahl, Schallisolierung, Tiefe 45 cm Weiss","Schmidlin","190 x 90"
"1117 253.100.000","Badewanne Alterna steel set, 170 x 75 cm, Nutzinhalt 135 Liter, Rückenteil rechts, Überlauf vorne, Stahl, Schallisolierung, Tiefe 43 cm Weiss","Alterna","170 x 75"
"1113 211.100.000","Badewanne Kaldewei Dynaset, 170 x 75 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss","Kaldewei","170 x 75"
"1144 268.100.000","Badewanne Kaldewei Puro Next, 1700 x 700 mm, Tiefe 410 mm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss","Kaldewei","170 x 70"
"1111 585.100.000","Badewanne Schmidlin Purista, 170 x 80 cm, Fussteil rechts, Stahl, Schallisolierung, Tiefe 45 cm, Überlauf vorne Weiss","Schmidlin","170 x 80"
"1113 155.100.000","Badewanne Kaldewei Vaio Set Star- Griff, 180 x 80 cm, Rückenteil links, Überlauf vorne, Stahl, Schallisolierung, ohne Griffe Umweltdeklaration EPD Weiss","Kaldewei","180 x 80"
"1111 526.100.000","Badewanne Schmidlin Riva 170 x 75 cm, Tiefe 45 cm Schallisolierung, Stahl Weiss","Schmidlin","170 x 75"
"1124 665.100.000","Badewanne Duravit Starck, 180 x 90 cm, Kunststoff Acryl Umweltdeklaration EPD Weiss","Duravit","180 x 90"
"1111 528.100.000","Badewanne Schmidlin Riva 180 x 80 cm, Tiefe 45 cm Schallisolierung, Stahl Weiss","Schmidlin","180 x 80"
"1144 269.100.000","Badewanne Kaldewei Puro Next, 1700 x 750 mm, Tiefe 410 mm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss","Kaldewei","170 x 75"
"1144 287.100.185","Badewanne Kaldewei Puro Next Combi, 1700 x 700 mm, Rückenteil rechts, Tiefe 410 mm, mit seitlichem Überlauf, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Invisible Grip","Kaldewei","170 x 70"
"1124 116.100.000","Badewanne Duscholux Piccolo, 160 x 75 cm, Ablauf links, Mod. 164, Kunststoff Acryl Weiss","Duscholux","160 x 75"
"1111 490.100.000","Badewanne Schmidlin Kombi- Griff, 150 x 75 cm, Stahl, Schallisolierung, Tiefe 38 cm, ohne Griffe Weiss","Schmidlin","150 x 75"
"1111 646.100.000","Badewanne Schmidlin Contura Comfort, 180 x 80 cm, Stahl, Schallisolierung, Tiefe 45 cm Weiss","Schmidlin","180 x 80"
"1144 284.100.000","Badewanne Kaldewei Puro Next Combi, 1800 x 800 mm, Rückenteil links, Tiefe 410 mm, mit seitlichem Überlauf, Stahl, Schallisolierung Umweltdeklaration EPD Weiss","Kaldewei","180 x 80"
"1111 144.100.000","Badewanne Schmidlin Duett Vario, 146 - 152 x 76 - 85 x 42 cm, Stahl, Schallisolierung, (Masse in 1 cm Schritten frei wählbar) Weiss","Schmidlin","85 x 42"
"1111 641.100.000","Badewanne Schmidlin Luna, 170 x 75/60 cm, Schmalseite 60 cm links, Stahl, Schallisolierung, Tiefe 45 cm Weiss","Schmidlin","170 x 75"
"1111 542.100.000","Badewanne Schmidlin Free, 180 x 80 cm, Stahl, Schallisolierung, Tiefe 45 cm Weiss","Schmidlin","180 x 80"
"1111 556.100.000","Badewanne Schmidlin Duett, 160 x 70 cm, Stahl, Schallisolierung, Tiefe 42 cm Weiss","Schmidlin","160 x 70"
"1144 291.100.000","Badewanne Kaldewei Puro Next Combi, 1900 x 900 mm, Rückenteil rechts, Tiefe 410 mm, mit seitlichem Überlauf, Stahl, Schallisolierung Umweltdeklaration EPD Weiss","Kaldewei","190 x 90"
"1111 242.100.000","Badewanne Schmidlin Norm Classic mit Zargen, 180 x 80 cm, Ablauf links, Zargen hinten und links, Stahl, Schallisolierung, Tiefe 45 cm Weiss","Schmidlin","180 x 80"
"1111 215.100.000","Badewanne Schmidlin Norm Classic mit Zargen, 160 x 70 cm, Ablauf links, Zarge vorne, Stahl, Schallisolierung, Tiefe 45 cm Weiss","Schmidlin","160 x 70"
"1111 147.100.000","Badewanne Schmidlin Duett Vario, 163 - 165 x 65 - 84 x 42 cm, Stahl, Schallisolierung, (Masse in 1 cm Schritten frei wählbar) Weiss","Schmidlin","84 x 42"
"1111 402.100.000","Badewanne Schmidlin Form, 180 x 80 cm, Stahl, Schallisolierung, Tiefe 42 cm Weiss","Schmidlin","180 x 80"
"1111 555.100.000","Badewanne Schmidlin Duett, 160 x 65 cm, Stahl, Schallisolierung, Tiefe 42 cm Weiss","Schmidlin","160 x 65"
"1111 245.100.000","Badewanne Schmidlin Norm Classic mit Zargen, 180 x 80 cm, Ablauf links, Zarge vorne, Stahl, Schallisolierung, Tiefe 45 cm Weiss","Schmidlin","180 x 80"
"1124 127.100.000","Badewanne Duscholux Piccolo, 175 x 75 cm, Ablauf links, Mod. 174, Kunststoff Acryl Weiss","Duscholux","175 x 75"
"1111 288.100.000","Badewanne Schmidlin Sola 180 x 80 cm, Tiefe 45 cm Duschteil links Überlauf vorne Schallisolierung, Stahl Weiss","Schmidlin","180 x 80"
"1124 664.100.000","Badewanne Duravit Starck, 180 x 80 cm, Kunststoff Acryl Umweltdeklaration EPD Weiss","Duravit","180 x 80"
"1111 583.100.000","Badewanne Schmidlin Purista, 160 x 75 cm, Fussteil rechts, Stahl, Schallisolierung, Tiefe 45 cm, Überlauf vorne Weiss","Schmidlin","160 x 75"
"1113 135.100.000","Badewanne Kaldewei Vaio Star- Griff, 170 x 80 cm, Rückenteil links, Überlauf vorne, Stahl, Schallisolierung, ohne Griffe Umweltdeklaration EPD Weiss","Kaldewei","170 x 80"
"1111 652.100.000","Badewanne Schmidlin Contura Duo, 170 x 70 cm, Stahl, Schallisolierung, Tiefe 45 cm Weiss","Schmidlin","170 x 70"
"1111 222.100.000","Badewanne Schmidlin Norm Classic mit Zargen, 168 x 70 cm, Ablauf links, Zargen vorne, rechts und links, Stahl, Schallisolierung, Tiefe 45 cm Weiss","Schmidlin","168 x 70"
"1124 661.100.000","Badewanne Duravit Starck, 170 x 70 cm, Kunststoff Acryl Umweltdeklaration EPD Weiss","Duravit","170 x 70"
"1111 130.100.000","Badewanne Schmidlin Norm Classic mit Zargen, 170 x 75 cm, Ablauf links, Zargen vorne, rechts und links, Stahl, Schallisolierung, Tiefe 45 cm Weiss","Schmidlin","170 x 75"
"1111 593.100.000","Badewanne Schmidlin Purista 160 x 75 cm, Tiefe 45 cm Fussteil links, Überlauf vorne Schallisolierung, Stahl Weiss","Schmidlin","160 x 75"
"1111 529.100.000","Badewanne Schmidlin Riva 190 x 90 cm, Tiefe 45 cm Schallisolierung, Stahl Weiss","Schmidlin","190 x 90"
"1111 246.100.000","Badewanne Schmidlin Norm Classic mit Zargen, 180 x 80 cm, Ablauf links, Zargen vorne und rechts, Stahl, Schallisolierung, Tiefe 45 cm Weiss","Schmidlin","180 x 80"
"1113 323.100.000","Badewanne Kaldewei Classic Duo, 160 x 70 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss","Kaldewei","160 x 70"
