ArtNr,Label,Hersteller,Size,Hahnloch,Ueberlauf,Ablage
1311 628.100.000,"Duschenwanne Schmidlin Floor, 140 x 80 x 2,5 cm, bodenebene Montage, Schallisolierung, Stahl, Ablaufloch Ø 90 mm Weiss",Andere,80 x 2.5,,,

1311 608.100.000,"Duschenwanne Schmidlin Floor, 90 x 75 x 2,5 cm, bodenebene Montage, Schallisolierung, Stahl, Ablaufloch Ø 90 mm Weiss",Andere,75 x 2.5,,,

1311 626.100.000,"Duschenwanne Schmidlin Floor, 130 x 90 x 2,5 cm, bodenebene Montage, Schallisolierung, Stahl, Ablaufloch Ø 90 mm Weiss",Andere,90 x 2.5,,,

1311 611.100.000,"Duschenwanne Schmidlin Floor, 90 x 90 x 2,5 cm, bodenebene Montage, Schallisolierung, Stahl, Ablaufloch Ø 90 mm Weiss",Andere,90 x 2.5,,,

1311 623.100.000,"Duschenwanne Schmidlin Floor, 120 x 100 x 2,5 cm, bodenebene Montage, Schallisolierung, Stahl, Ablaufloch Ø 90 mm Weiss",Andere,100 x 2.5,,,

1311 616.100.000,"Duschenwanne Schmidlin Floor, 100 x 90 x 2,5 cm, bodenebene Montage, Schallisolierung, Stahl, Ablaufloch Ø 90 mm Weiss",Andere,90 x 2.5,,,

1311 621.100.000,"Duschenwanne Schmidlin Floor, 120 x 80 x 2,5 cm, bodenebene Montage, Schallisolierung, Stahl, Ablaufloch Ø 90 mm Weiss",Andere,80 x 2.5,,,

1311 614.100.000,"Duschenwanne Schmidlin Floor, 100 x 75 x 2,5 cm, bodenebene Montage, Schallisolierung, Stahl, Ablaufloch Ø 90 mm Weiss",Andere,75 x 2.5,,,

1311 637.100.000,"Duschenwanne Schmidlin Floor, 160 x 90 x 2,5 cm, bodenebene Montage, Schallisolierung, Stahl, Ablaufloch Ø 90 mm Weiss",Andere,90 x 2.5,,,

1311 613.100.000,"Duschenwanne Schmidlin Floor, 100 x 70 x 2,5 cm, bodenebene Montage, Schallisolierung, Stahl, Ablaufloch Ø 90 mm Weiss",Andere,70 x 2.5,,,

1311 625.100.000,"Duschenwanne Schmidlin Floor, 120 x 120 x 2,5 cm, bodenebene Montage, Schallisolierung, Stahl, Ablaufloch Ø 90 mm Weiss",Andere,120 x 2.5,,,

1311 615.100.000,"Duschenwanne Schmidlin Floor, 100 x 80 x 2,5 cm, bodenebene Montage, Schallisolierung, Stahl, Ablaufloch Ø 90 mm Weiss",Andere,80 x 2.5,,,

1311 640.100.000,"Duschenwanne Schmidlin Floor, 170 x 90 x 2,5 cm, bodenebene Montage, Schallisolierung, Stahl, Ablaufloch Ø 90 mm Weiss",Andere,90 x 2.5,,,

