ArtNr,Label,Hersteller,Size,Hahnloch,Ueberlauf,Ablage
1122 330.501.000,"Wannengarnitur mit Ab- und Überlaufset Hoesch-Combi zu Badewanne Santee 1122 310 Verchromt",Andere,,,mit,

1411 327.501.000,"Ab- und Überlaufset Viega Visign R5, Drehrosette, Ablaufhaube, zu Wannengarnitur Rotaplex 1411 316/317 Verchromt",Andere,,,mit,

1411 384.501.000,"Wannengarnitur Schmidlin High Five, High Five 90, für Badewannen mit Ablauf Ø 90 mm, Sifon, Ablaufbogen Ø 40/50 mm, inkl. Endmontageset Verchromt",Andere,,,,

1411 316.000.000,"Wannengarnitur Viega Rotaplex, Ablauf Ø 90 mm, Sifon, Kabellänge 72,5 cm, Ablaufbogen Ø 40 / 50 mm, ohne Ab- und Überlaufset 1411 327",Andere,,,mit,

1441 745.000.000,"Badewannenträger Alterna, 170 x 75 cm, Rückenteil links, zu 1117 243, zu Alterna steel set, Überlauf vorne, Höhe 57 cm, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Alterna,170 x 75,,mit,

1431 157.000.000,"Badewannen Montageset Schmidlin, mit Wannengarnitur Geberit, Swiss Line, Badewannenfüsse, Dichtband 4 m, 2 Dichtecken, Schallschutzband, Distanzband, Schnittschutz 4 m",Geberit,,,,

1441 747.000.000,"Badewannenträger Alterna, 180 x 80 cm, Rückenteil links, zu 1117 244, zu Alterna steel set, Überlauf vorne, Höhe 57 cm, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Alterna,180 x 80,,mit,

1441 748.000.000,"Badewannenträger Alterna, 180 x 80 cm, Rückenteil rechts, zu 1117 254, zu Alterna steel set, Überlauf vorne, Höhe 57 cm, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Alterna,180 x 80,,mit,

1465 151.000.000,"Schallschutz Hafner Iso-Set für freistehende Badewanne alle Varianten, Engineering Set Anpassung Montageanleitung",Andere,,,,

1411 122.100.000,"Ab- und Überlaufset Geberit, Fertigbauset Ø 52 mm, für Badewannenablauf mit Drehbetätigung Weiss",Geberit,,,mit,

1411 128.535.000,"Ab- und Überlauf-Set Geberit Split, Fertigbauset Ø 52 mm für Badewannenablauf mit Drehbetätigung Schwarz matt",Geberit,,,mit,

1411 128.501.000,"Ab- und Überlaufset Geberit Split, Fertigbauset Ø 52 mm, für Badewannenablauf mit Drehbetätigung Verchromt",Geberit,,,mit,

1411 128.100.241,"Ab- und Überlauf-Set Geberit Split, Fertigbauset Ø 52 mm für Badewannenablauf mit Drehbetätigung Weiss Designring: hochglanz-verchromt",Geberit,,,mit,

1451 144.000.000,"Wannenleisten-Set MEPA schallisoliert, Satz à 3 Stück zu je 70 cm, inkl. T-Verbindungsstück 2 Klemmbügel, für Bade- und Duschwannen Stahl / Kunststoff Befestigungsmaterial Preisübersicht Unverbindliche Richtpreise Total13'757.50 geschätzte Transportkosten536.56 8.1 % MWSt1'157.82 Rundungsdifferenz 0.02 Gesamtbetrag inkl. MwSt. in CHF 15'451.90 Preisänderung vorbehalten Unverbindliche Richtpreise Bei den Preisangaben handelt es sich um unverbindliche Richtpreise. Auf diese unverbindlichen Richtpreise gibt Sanitas Troesch den Installateur-Unternehmen individuelle Einkaufsrabatte. Die unverbindlichen Richtpreise sind für Installateur-Unternehmen nicht bindend. Die Installateur-Unternehmen legen die Verkaufspreise an ihre Kunden vollkommen frei und im eigenen Ermessen fest.",Andere,,,,
