ArtNr,Label,Hersteller,Size,Hahnloch,Ueberlauf,Ablage
1424 951.617.000,"Duschrinne Hansgrohe RainDrain Match, Fertigset Duschrinne 70 cm, Designabdeckung, Wandmontageflansch, Dryphon, höhenverstellbaren Rahmen (7 - 18 mm), rückseitig befliesbar, ausgenommen Glas Finishes, Fliesenstärke bis 18 mm, Montageart wandangebunden, frei im Raum, Wandmontage möglich, Tiefe der Fliesenmulde: 12 mm, Rahmenbreite: 62 mm, Rostbreite: 46 mm, passend für Rainmaker Select Produkte mit Glas Finishes, ohne Installationsset Edelstahl gebürstet",Andere,,,,

1424 342.617.000,"Duschrinne Hansgrohe Raindrain Original, Breite 70 cm, Fertigset bestehend aus: Installationsset, Dryphon, Abdeckungsheber, Dichtflies, Designabdeckung mit herausnehmbarem Einsatz Dryphon, höhenverstellbar um 10 mm, Ablaufleistung 49 l/min Fliesenstärke: bis 18 mm Edelstahl gebürstet",Andere,,,,

1424 345.617.000,"Duschrinne Hansgrohe Raindrain Original, Breite 100 cm, Fertigset bestehend aus: Installationsset, Dryphon, Abdeckungsheber, Dichtflies, Designabdeckung mit herausnehmbarem Einsatz Dryphon, höhenverstellbar um 10 mm, Ablaufleistung 49 l/min Fliesenstärke: bis 18 mm Edelstahl gebürstet",Andere,,,,

1413 113.617.000,"Duschrinne Kaldewei Flowline Zero, Länge 150 cm, Breite 55 mm, Länge kürzbar, Edelstahl, Montage vor und an Wand möglich, Click'n Clean- Mechanismus zum Öffnen und Reinigen, Blendeneinsatz, Haarsieb, kürzbares Höhenausgleichstück, Cuttingtool, ohne Ablaufgarnitur FlowDrain Edelstahl gebürstet",Kaldewei,,,,

1424 962.617.000,"Duschrinne Hansgrohe RainDrain Flex, 90 cm kürzbar, Rostbreite 60 mm, zur Raummontage, Fertigset bestehend aus Designabdeckung mit herausnehmbarem Einsatz, Dryphon, Abdeckungsheber integriert, vor Ort kürzbar, höhenverstellbar um 10 mm, bis zu 60 l/min Ablaufleistung, mit integriertem Gefälle Edelstahl gebürstet",Andere,,,,

1424 288.617.000,"Duschrinne Geberit CleanLine30, Länge 300 - 1100 mm, für Raum- oder Wandmontage, ablängbar, Fliesenaufbau Boden 8 - 35 mm, ohne Rohbauset 1424 300, Edelstahl, (nicht geeignet für fugenlose Bodenbeläge) Edelstahl gebürstet",Geberit,,,,

1413 111.617.000,"Duschrinne Kaldewei Flowline Zero, Länge 90 cm, Breite 55 mm, Länge kürzbar, Edelstahl, Montage vor und an Wand möglich, Click'n Clean- Mechanismus zum Öffnen und Reinigen, Blendeneinsatz, Haarsieb, kürzbares Höhenausgleichstück, Cuttingtool, ohne Ablaufgarnitur FlowDrain Edelstahl gebürstet",Kaldewei,,,,

1424 326.617.000,"Duschrinne Geberit CleanLine50, Länge 30 - 130 cm, für Raum- oder Wandmontage, ablängbar, Fliesenaufbau Boden 10 - 35 mm, ohne Rohbauset 1424 300, Edelstahl Edelstahl gebürstet",Geberit,,,,

1424 964.617.000,"Duschrinne Hansgrohe RainDrain Flex, 160 cm kürzbar, Rostbreite 60 mm, zur Raummontage, Fertigset bestehend aus Designabdeckung mit herausnehmbarem Einsatz, Dryphon, Abdeckungsheber integriert, vor Ort kürzbar, höhenverstellbar um 10 mm, bis zu 60 l/min Ablaufleistung, mit integriertem Gefälle Edelstahl gebürstet",Andere,,,,

1424 955.617.000,"Duschrinne Hansgrohe RainDrain Match, Fertigset Duschrinne 120 cm, Designabdeckung, Wandmontageflansch, Dryphon, höhenverstellbaren Rahmen (7 - 18 mm), rückseitig befliesbar, ausgenommen Glas Finishes, Fliesenstärke bis 18 mm, Montageart wandangebunden, frei im Raum, Wandmontage möglich, Tiefe der Fliesenmulde: 12 mm, Rahmenbreite: 62 mm, Rostbreite: 46 mm, passend für Rainmaker Select Produkte mit Glas Finishes, ohne Installationsset Edelstahl gebürstet",Andere,,,,

1413 112.617.000,"Duschrinne Kaldewei Flowline Zero, Länge 120 cm, Breite 55 mm, Länge kürzbar, Edelstahl, Montage vor und an Wand möglich, Click'n Clean- Mechanismus zum Öffnen und Reinigen, Blendeneinsatz, Haarsieb, kürzbares Höhenausgleichstück, Cuttingtool, ohne Ablaufgarnitur FlowDrain Edelstahl gebürstet",Kaldewei,,,,

1424 953.617.000,"Duschrinne Hansgrohe RainDrain Match, Fertigset Duschrinne 90 cm, Designabdeckung, Wandmontageflansch, Dryphon, höhenverstellbaren Rahmen (7 - 18 mm), rückseitig befliesbar, ausgenommen Glas Finishes, Fliesenstärke bis 18 mm, Montageart wandangebunden, frei im Raum, Wandmontage möglich, Tiefe der Fliesenmulde: 12 mm, Rahmenbreite: 62 mm, Rostbreite: 46 mm, passend für Rainmaker Select Produkte mit Glas Finishes, ohne Installationsset Edelstahl gebürstet",Andere,,,,

