Tray ArtNr,Tray Label,Accessory ArtNr,Accessory Label,Category,In Pool
"1311 407.100.000","Duschwanne Schmidlin, 80 x 80 x 3,5 cm, Stahl, Schallisolierung, Ablaufloch Ø","1422 118.501.000","ablaufdeckel geberit, zu duschwannenablauf ø 90 mm (1422 117),","ablaufdeckel",YES
"1311 407.100.000","Duschwanne Schmidlin, 80 x 80 x 3,5 cm, Stahl, Schallisolierung, Ablaufloch Ø","1422 225.501.000","ablaufdeckel zu tempoplex / contura, zu duschenwannengarnitur tempoplex /-","ablaufdeckel",YES
"1311 407.100.000","Duschwanne Schmidlin, 80 x 80 x 3,5 cm, Stahl, Schallisolierung, Ablaufloch Ø","1422 221.000.000","duschwannengarnitur tempoplex, ablaufbogen ø 40/50 mm, für duschwannen","ablaufgarnitur",NO
"1311 407.100.000","Duschwanne Schmidlin, 80 x 80 x 3,5 cm, Stahl, Schallisolierung, Ablaufloch Ø","1445 726.000.000","duschwannenträger alterna ecoplan, 800 x 800 x 35 mm, ecoplan, kaldewei","wannentraeger",YES
"1311 407.100.000","Duschwanne Schmidlin, 80 x 80 x 3,5 cm, Stahl, Schallisolierung, Ablaufloch Ø","1441 791.000.000","montageschaum alterna, zu bade- und duschenwannenträger, kartusche 400 ml","wannentraeger",YES
"1311 407.100.000","Duschwanne Schmidlin, 80 x 80 x 3,5 cm, Stahl, Schallisolierung, Ablaufloch Ø","1441 792.000.000","pu-kleber mdi-frei alterna, mdi-frei, kartusche 290 ml, (zu wannenträger 1441","wannentraeger",YES
"1311 407.100.000","Duschwanne Schmidlin, 80 x 80 x 3,5 cm, Stahl, Schallisolierung, Ablaufloch Ø","1445 782.000.000","schallschutzset alterna - stahl, zu duschenwannenträger bis 2000 x 1000 mm,","wannentraeger",YES
"1311 407.100.000","Duschwanne Schmidlin, 80 x 80 x 3,5 cm, Stahl, Schallisolierung, Ablaufloch Ø","1435 264.000.000","montagerahmen schmidlin, 80 x 80 cm, für duschwannen quadratisch /","montagerahmen",YES
"1311 407.100.000","Duschwanne Schmidlin, 80 x 80 x 3,5 cm, Stahl, Schallisolierung, Ablaufloch Ø","1435 105.000.000","montagerahmen schmidlin omnia, 80 x 80 cm, für alle schmidlin duschenwannen,","montagerahmen",YES
"1311 407.100.000","Duschwanne Schmidlin, 80 x 80 x 3,5 cm, Stahl, Schallisolierung, Ablaufloch Ø","1311 407.100.181","Duschwanne Schmidlin, 80 x 80 x 3,5 cm, Stahl, Schallisolierung, Ablaufloch Ø","others",NO
"1311 407.100.000","Duschwanne Schmidlin, 80 x 80 x 3,5 cm, Stahl, Schallisolierung, Ablaufloch Ø","1422 117.000.000","duschwannenablauf geberit ø 90, für duschenwannen mit ablaufloch ø 90 mm,","others",YES
"1311 006.100.000","Duschwanne Schmidlin, 80 x 80 x 6,5 cm, Schallisolierung, Stahl, Ablaufloch Ø","1422 118.501.000","ablaufdeckel geberit, zu duschwannenablauf ø 90 mm (1422 117),","ablaufdeckel",YES
"1311 006.100.000","Duschwanne Schmidlin, 80 x 80 x 6,5 cm, Schallisolierung, Stahl, Ablaufloch Ø","1422 225.501.000","ablaufdeckel zu tempoplex / contura, zu duschenwannengarnitur tempoplex /-","ablaufdeckel",YES
"1311 006.100.000","Duschwanne Schmidlin, 80 x 80 x 6,5 cm, Schallisolierung, Stahl, Ablaufloch Ø","1422 221.000.000","duschwannengarnitur tempoplex, ablaufbogen ø 40/50 mm, für duschwannen","ablaufgarnitur",NO
"1311 006.100.000","Duschwanne Schmidlin, 80 x 80 x 6,5 cm, Schallisolierung, Stahl, Ablaufloch Ø","1435 264.000.000","montagerahmen schmidlin, 80 x 80 cm, für duschwannen quadratisch /","montagerahmen",YES
"1311 006.100.000","Duschwanne Schmidlin, 80 x 80 x 6,5 cm, Schallisolierung, Stahl, Ablaufloch Ø","1435 105.000.000","montagerahmen schmidlin omnia, 80 x 80 cm, für alle schmidlin duschenwannen,","montagerahmen",YES
"1311 006.100.000","Duschwanne Schmidlin, 80 x 80 x 6,5 cm, Schallisolierung, Stahl, Ablaufloch Ø","1311 006.100.000","Duschwanne Schmidlin, 80 x 80 x 6,5 cm, Schallisolierung, Stahl, Ablaufloch Ø","others",NO
"1311 006.100.000","Duschwanne Schmidlin, 80 x 80 x 6,5 cm, Schallisolierung, Stahl, Ablaufloch Ø","1422 117.000.000","duschwannenablauf geberit ø 90, für duschenwannen mit ablaufloch ø 90 mm,","others",YES
"1311 408.100.000","Duschwanne Schmidlin, 90 x 90 x 2,5 cm, Stahl, Schallisolierung, Ablaufloch Ø","1422 118.501.000","ablaufdeckel geberit, zu duschwannenablauf ø 90 mm (1422 117),","ablaufdeckel",YES
"1311 408.100.000","Duschwanne Schmidlin, 90 x 90 x 2,5 cm, Stahl, Schallisolierung, Ablaufloch Ø","1422 225.501.000","ablaufdeckel zu tempoplex / contura, zu duschenwannengarnitur tempoplex /-","ablaufdeckel",YES
"1311 408.100.000","Duschwanne Schmidlin, 90 x 90 x 2,5 cm, Stahl, Schallisolierung, Ablaufloch Ø","1422 221.000.000","duschwannengarnitur tempoplex, ablaufbogen ø 40/50 mm, für duschwannen","ablaufgarnitur",NO
"1311 408.100.000","Duschwanne Schmidlin, 90 x 90 x 2,5 cm, Stahl, Schallisolierung, Ablaufloch Ø","1445 727.000.000","duschwannenträger alterna ecoplan, 900 x 900 x 35 mm, ecoplan, kaldewei","wannentraeger",YES
"1311 408.100.000","Duschwanne Schmidlin, 90 x 90 x 2,5 cm, Stahl, Schallisolierung, Ablaufloch Ø","1441 791.000.000","montageschaum alterna, zu bade- und duschenwannenträger, kartusche 400 ml","wannentraeger",YES
"1311 408.100.000","Duschwanne Schmidlin, 90 x 90 x 2,5 cm, Stahl, Schallisolierung, Ablaufloch Ø","1441 792.000.000","pu-kleber mdi-frei alterna, mdi-frei, kartusche 290 ml, (zu wannenträger 1441","wannentraeger",YES
"1311 408.100.000","Duschwanne Schmidlin, 90 x 90 x 2,5 cm, Stahl, Schallisolierung, Ablaufloch Ø","1445 782.000.000","schallschutzset alterna - stahl, zu duschenwannenträger bis 2000 x 1000 mm,","wannentraeger",YES
"1311 408.100.000","Duschwanne Schmidlin, 90 x 90 x 2,5 cm, Stahl, Schallisolierung, Ablaufloch Ø","1435 115.000.000","montagerahmen schmidlin omnia, 90 x 90 cm, für alle schmidlin duschenwannen,","montagerahmen",YES
"1311 408.100.000","Duschwanne Schmidlin, 90 x 90 x 2,5 cm, Stahl, Schallisolierung, Ablaufloch Ø","1435 191.000.000","duschwannen-fussset schmidlin omnia, höhe 4,5 -11 cm, montagehöhe 4,5 - 11","montagerahmen",YES
"1311 408.100.000","Duschwanne Schmidlin, 90 x 90 x 2,5 cm, Stahl, Schallisolierung, Ablaufloch Ø","1435 192.000.000","duschwannen-fussset schmidlin omnia, höhe 10 - 20 cm, montagehöhe 10 - 20","montagerahmen",YES
"1311 408.100.000","Duschwanne Schmidlin, 90 x 90 x 2,5 cm, Stahl, Schallisolierung, Ablaufloch Ø","1435 193.000.000","duschwannen-fussset schmidlin omnia, höhe 19 - 33 cm, montagehöhe 19 - 33","montagerahmen",YES
"1311 408.100.000","Duschwanne Schmidlin, 90 x 90 x 2,5 cm, Stahl, Schallisolierung, Ablaufloch Ø","1461 004.000.000","zargen-wannendichtband alterna, länge 3,4 m, 2 wannen-eckdichtungen butyl,","dichtband",YES
"1311 408.100.000","Duschwanne Schmidlin, 90 x 90 x 2,5 cm, Stahl, Schallisolierung, Ablaufloch Ø","1311 408.100.186","Duschenwanne Schmidlin, 90 x 90 x 2,5 cm, Stahl, Schallisolierung, Ablaufloch","others",NO
"1311 408.100.000","Duschwanne Schmidlin, 90 x 90 x 2,5 cm, Stahl, Schallisolierung, Ablaufloch Ø","1422 117.000.000","duschwannenablauf geberit ø 90, für duschenwannen mit ablaufloch ø 90 mm,","others",YES
"1311 408.100.000","Duschwanne Schmidlin, 90 x 90 x 2,5 cm, Stahl, Schallisolierung, Ablaufloch Ø","1461 015.000.000","3 wannen-eckdichtungen 3d alterna, für bodenbündige montage, mit 1","others",YES
"1311 007.100.000","Duschwanne Schmidlin, 90 x 90 x 6,5 cm, Schallisolierung, Stahl, Ablaufloch Ø","1422 118.100.000","ablaufdeckel geberit, zu duschwannenablauf ø 90 mm (1422 117),","ablaufdeckel",YES
"1311 007.100.000","Duschwanne Schmidlin, 90 x 90 x 6,5 cm, Schallisolierung, Stahl, Ablaufloch Ø","1422 118.501.000","ablaufdeckel geberit, zu duschwannenablauf ø 90 mm (1422 117),","ablaufdeckel",YES
"1311 007.100.000","Duschwanne Schmidlin, 90 x 90 x 6,5 cm, Schallisolierung, Stahl, Ablaufloch Ø","1311 699.100.000","ablaufdeckel schmidlin 90, ohne ablaufgarnitur, stahl, emailliert, zu","ablaufdeckel",YES
"1311 007.100.000","Duschwanne Schmidlin, 90 x 90 x 6,5 cm, Schallisolierung, Stahl, Ablaufloch Ø","1422 225.501.000","ablaufdeckel zu tempoplex / contura, zu duschenwannengarnitur tempoplex /-","ablaufdeckel",YES
"1311 007.100.000","Duschwanne Schmidlin, 90 x 90 x 6,5 cm, Schallisolierung, Stahl, Ablaufloch Ø","1311 701.000.000","ablaufgarnitur schmidlin flow 50, ø 90 mm, ablaufleistung 0,55 l/s, ohne","ablaufgarnitur",YES
"1311 007.100.000","Duschwanne Schmidlin, 90 x 90 x 6,5 cm, Schallisolierung, Stahl, Ablaufloch Ø","1445 717.000.000","duschwannenträger alterna ecoplan, 900 x 900 x 65 mm, ecoplan/duschplan,","wannentraeger",YES
"1311 007.100.000","Duschwanne Schmidlin, 90 x 90 x 6,5 cm, Schallisolierung, Stahl, Ablaufloch Ø","1441 791.000.000","montageschaum alterna, zu bade- und duschenwannenträger, kartusche 400 ml","wannentraeger",YES
"1311 007.100.000","Duschwanne Schmidlin, 90 x 90 x 6,5 cm, Schallisolierung, Stahl, Ablaufloch Ø","1441 792.000.000","pu-kleber mdi-frei alterna, mdi-frei, kartusche 290 ml, (zu wannenträger 1441","wannentraeger",YES
"1311 007.100.000","Duschwanne Schmidlin, 90 x 90 x 6,5 cm, Schallisolierung, Stahl, Ablaufloch Ø","1445 782.000.000","schallschutzset alterna - stahl, zu duschenwannenträger bis 2000 x 1000 mm,","wannentraeger",YES
"1311 007.100.000","Duschwanne Schmidlin, 90 x 90 x 6,5 cm, Schallisolierung, Stahl, Ablaufloch Ø","1435 115.000.000","montagerahmen schmidlin omnia, 90 x 90 cm, für alle schmidlin duschenwannen,","montagerahmen",YES
"1311 007.100.000","Duschwanne Schmidlin, 90 x 90 x 6,5 cm, Schallisolierung, Stahl, Ablaufloch Ø","1435 191.000.000","duschwannen-fussset schmidlin omnia, höhe 4,5 -11 cm, montagehöhe 4,5 - 11","montagerahmen",YES
"1311 007.100.000","Duschwanne Schmidlin, 90 x 90 x 6,5 cm, Schallisolierung, Stahl, Ablaufloch Ø","1435 192.000.000","duschwannen-fussset schmidlin omnia, höhe 10 - 20 cm, montagehöhe 10 - 20","montagerahmen",YES
"1311 007.100.000","Duschwanne Schmidlin, 90 x 90 x 6,5 cm, Schallisolierung, Stahl, Ablaufloch Ø","1435 193.000.000","duschwannen-fussset schmidlin omnia, höhe 19 - 33 cm, montagehöhe 19 - 33","montagerahmen",YES
"1311 007.100.000","Duschwanne Schmidlin, 90 x 90 x 6,5 cm, Schallisolierung, Stahl, Ablaufloch Ø","1461 004.000.000","zargen-wannendichtband alterna, länge 3,4 m, 2 wannen-eckdichtungen butyl,","dichtband",YES
"1311 007.100.000","Duschwanne Schmidlin, 90 x 90 x 6,5 cm, Schallisolierung, Stahl, Ablaufloch Ø","1311 007.100.186","Duschenwanne Schmidlin, 90 x 90 x 6,5 cm, Schallisolierung, Stahl, Ablaufloch","others",NO
"1311 007.100.000","Duschwanne Schmidlin, 90 x 90 x 6,5 cm, Schallisolierung, Stahl, Ablaufloch Ø","1422 117.000.000","duschwannenablauf geberit ø 90, für duschenwannen mit ablaufloch ø 90 mm,","others",YES
"1311 007.100.000","Duschwanne Schmidlin, 90 x 90 x 6,5 cm, Schallisolierung, Stahl, Ablaufloch Ø","1311 698.100.000","ablaufhaube schmidlin zu tempoplex / floor / contura, zu","others",YES
"1311 007.100.000","Duschwanne Schmidlin, 90 x 90 x 6,5 cm, Schallisolierung, Stahl, Ablaufloch Ø","1311 698.501.000","ablaufhaube schmidlin zu tempoplex / floor/ contura, zu","others",YES
"1311 007.100.000","Duschwanne Schmidlin, 90 x 90 x 6,5 cm, Schallisolierung, Stahl, Ablaufloch Ø","1461 015.000.000","3 wannen-eckdichtungen 3d alterna, für bodenbündige montage, mit 1","others",YES
"1313 166.100.185","Duschwanne Kaldewei Calima, 1200 x 800 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip","1313 284.100.185","ablaufdeckel kaldewei ka 300, für 1313 277 - 278, weiss, gleitschutz invisible","ablaufdeckel",YES
"1313 166.100.185","Duschwanne Kaldewei Calima, 1200 x 800 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip","1313 284.146.185","ablaufdeckel kaldewei ka 300, für 1313 277 - 278, warm beige 20, gleitschutz","ablaufdeckel",YES
"1313 166.100.185","Duschwanne Kaldewei Calima, 1200 x 800 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip","1313 284.157.185","ablaufdeckel kaldewei ka 300, für 1313 277 - 278, cool grey 30, gleitschutz","ablaufdeckel",YES
"1313 166.100.185","Duschwanne Kaldewei Calima, 1200 x 800 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip","1313 284.535.185","ablaufdeckel kaldewei ka 300, für 1313 277 - 278, schwarz matt, gleitschutz","ablaufdeckel",YES
"1313 166.100.185","Duschwanne Kaldewei Calima, 1200 x 800 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip","1313 284.536.185","ablaufdeckel kaldewei ka 300, für 1313 277 - 278, weiss matt, gleitschutz","ablaufdeckel",YES
"1313 166.100.185","Duschwanne Kaldewei Calima, 1200 x 800 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip","1441 036.000.000","duschwannenträger schedel, 1200 x 800 x 32 mm, höhe 100 mm, kaldewei calima,","wannentraeger",YES
"1313 166.100.185","Duschwanne Kaldewei Calima, 1200 x 800 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip","1441 791.000.000","montageschaum alterna, zu bade- und duschenwannenträger, kartusche 400 ml","wannentraeger",YES
"1313 166.100.185","Duschwanne Kaldewei Calima, 1200 x 800 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip","1441 792.000.000","pu-kleber mdi-frei alterna, mdi-frei, kartusche 290 ml, (zu wannenträger 1441","wannentraeger",YES
"1313 166.100.185","Duschwanne Kaldewei Calima, 1200 x 800 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip","1313 285.000.000","stelzfüsse kaldewei, set à 4 stück, für duschenwannen kaldewei calima","stelzfüsse",YES
"1313 166.100.185","Duschwanne Kaldewei Calima, 1200 x 800 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip","1461 004.000.000","zargen-wannendichtband alterna, länge 3,4 m, 2 wannen-eckdichtungen butyl,","dichtband",YES
"1313 166.100.185","Duschwanne Kaldewei Calima, 1200 x 800 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip","1461 015.000.000","3 wannen-eckdichtungen 3d alterna, für bodenbündige montage, mit 1","others",YES
"1313 159.100.185","Duschwanne Kaldewei Calima, 1000 x 1000 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip","1313 284.100.185","ablaufdeckel kaldewei ka 300, für 1313 277 - 278, weiss, gleitschutz invisible","ablaufdeckel",YES
"1313 159.100.185","Duschwanne Kaldewei Calima, 1000 x 1000 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip","1313 284.146.185","ablaufdeckel kaldewei ka 300, für 1313 277 - 278, warm beige 20, gleitschutz","ablaufdeckel",YES
"1313 159.100.185","Duschwanne Kaldewei Calima, 1000 x 1000 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip","1313 284.157.185","ablaufdeckel kaldewei ka 300, für 1313 277 - 278, cool grey 30, gleitschutz","ablaufdeckel",YES
"1313 159.100.185","Duschwanne Kaldewei Calima, 1000 x 1000 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip","1313 284.535.185","ablaufdeckel kaldewei ka 300, für 1313 277 - 278, schwarz matt, gleitschutz","ablaufdeckel",YES
"1313 159.100.185","Duschwanne Kaldewei Calima, 1000 x 1000 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip","1313 284.536.185","ablaufdeckel kaldewei ka 300, für 1313 277 - 278, weiss matt, gleitschutz","ablaufdeckel",YES
"1313 159.100.185","Duschwanne Kaldewei Calima, 1000 x 1000 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip","1441 029.000.000","duschwannenträger schedel, 1000 x 1000 x 32 mm, höhe 100 mm, kaldewei calima,","wannentraeger",YES
"1313 159.100.185","Duschwanne Kaldewei Calima, 1000 x 1000 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip","1441 791.000.000","montageschaum alterna, zu bade- und duschenwannenträger, kartusche 400 ml","wannentraeger",YES
"1313 159.100.185","Duschwanne Kaldewei Calima, 1000 x 1000 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip","1441 792.000.000","pu-kleber mdi-frei alterna, mdi-frei, kartusche 290 ml, (zu wannenträger 1441","wannentraeger",YES
"1313 159.100.185","Duschwanne Kaldewei Calima, 1000 x 1000 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip","1313 285.000.000","stelzfüsse kaldewei, set à 4 stück, für duschenwannen kaldewei calima","stelzfüsse",YES
"1313 159.100.185","Duschwanne Kaldewei Calima, 1000 x 1000 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip","1461 004.000.000","zargen-wannendichtband alterna, länge 3,4 m, 2 wannen-eckdichtungen butyl,","dichtband",YES
"1313 159.100.185","Duschwanne Kaldewei Calima, 1000 x 1000 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip","1461 015.000.000","3 wannen-eckdichtungen 3d alterna, für bodenbündige montage, mit 1","others",YES
"1313 150.100.185","Duschwanne Kaldewei Calima, 800 x 800 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip","1313 284.100.185","ablaufdeckel kaldewei ka 300, für 1313 277 - 278, weiss, gleitschutz invisible","ablaufdeckel",YES
"1313 150.100.185","Duschwanne Kaldewei Calima, 800 x 800 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip","1313 284.146.185","ablaufdeckel kaldewei ka 300, für 1313 277 - 278, warm beige 20, gleitschutz","ablaufdeckel",YES
"1313 150.100.185","Duschwanne Kaldewei Calima, 800 x 800 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip","1313 284.157.185","ablaufdeckel kaldewei ka 300, für 1313 277 - 278, cool grey 30, gleitschutz","ablaufdeckel",YES
"1313 150.100.185","Duschwanne Kaldewei Calima, 800 x 800 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip","1313 284.535.185","ablaufdeckel kaldewei ka 300, für 1313 277 - 278, schwarz matt, gleitschutz","ablaufdeckel",YES
"1313 150.100.185","Duschwanne Kaldewei Calima, 800 x 800 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip","1313 284.536.185","ablaufdeckel kaldewei ka 300, für 1313 277 - 278, weiss matt, gleitschutz","ablaufdeckel",YES
"1313 150.100.185","Duschwanne Kaldewei Calima, 800 x 800 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip","1441 020.000.000","duschwannenträger schedel, 800 x 800 x 32 mm, höhe 100 mm, kaldewei calima,","wannentraeger",YES
"1313 150.100.185","Duschwanne Kaldewei Calima, 800 x 800 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip","1441 791.000.000","montageschaum alterna, zu bade- und duschenwannenträger, kartusche 400 ml","wannentraeger",YES
"1313 150.100.185","Duschwanne Kaldewei Calima, 800 x 800 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip","1441 792.000.000","pu-kleber mdi-frei alterna, mdi-frei, kartusche 290 ml, (zu wannenträger 1441","wannentraeger",YES
"1313 150.100.185","Duschwanne Kaldewei Calima, 800 x 800 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip","1313 285.000.000","stelzfüsse kaldewei, set à 4 stück, für duschenwannen kaldewei calima","stelzfüsse",YES
"1313 150.100.185","Duschwanne Kaldewei Calima, 800 x 800 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip","1461 004.000.000","zargen-wannendichtband alterna, länge 3,4 m, 2 wannen-eckdichtungen butyl,","dichtband",YES
"1313 150.100.185","Duschwanne Kaldewei Calima, 800 x 800 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip","1461 015.000.000","3 wannen-eckdichtungen 3d alterna, für bodenbündige montage, mit 1","others",YES
"1313 156.100.185","Duschwanne Kaldewei Calima, 1000 x 750 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip","1313 284.100.185","ablaufdeckel kaldewei ka 300, für 1313 277 - 278, weiss, gleitschutz invisible","ablaufdeckel",YES
"1313 156.100.185","Duschwanne Kaldewei Calima, 1000 x 750 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip","1313 284.146.185","ablaufdeckel kaldewei ka 300, für 1313 277 - 278, warm beige 20, gleitschutz","ablaufdeckel",YES
"1313 156.100.185","Duschwanne Kaldewei Calima, 1000 x 750 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip","1313 284.157.185","ablaufdeckel kaldewei ka 300, für 1313 277 - 278, cool grey 30, gleitschutz","ablaufdeckel",YES
"1313 156.100.185","Duschwanne Kaldewei Calima, 1000 x 750 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip","1313 284.535.185","ablaufdeckel kaldewei ka 300, für 1313 277 - 278, schwarz matt, gleitschutz","ablaufdeckel",YES
"1313 156.100.185","Duschwanne Kaldewei Calima, 1000 x 750 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip","1313 284.536.185","ablaufdeckel kaldewei ka 300, für 1313 277 - 278, weiss matt, gleitschutz","ablaufdeckel",YES
"1313 156.100.185","Duschwanne Kaldewei Calima, 1000 x 750 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip","1441 026.000.000","duschwannenträger schedel, 1000 x 750 x 32 mm, höhe 100 mm, kaldewei calima,","wannentraeger",YES
"1313 156.100.185","Duschwanne Kaldewei Calima, 1000 x 750 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip","1441 791.000.000","montageschaum alterna, zu bade- und duschenwannenträger, kartusche 400 ml","wannentraeger",YES
"1313 156.100.185","Duschwanne Kaldewei Calima, 1000 x 750 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip","1441 792.000.000","pu-kleber mdi-frei alterna, mdi-frei, kartusche 290 ml, (zu wannenträger 1441","wannentraeger",YES
"1313 156.100.185","Duschwanne Kaldewei Calima, 1000 x 750 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip","1313 285.000.000","stelzfüsse kaldewei, set à 4 stück, für duschenwannen kaldewei calima","stelzfüsse",YES
"1313 156.100.185","Duschwanne Kaldewei Calima, 1000 x 750 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip","1461 004.000.000","zargen-wannendichtband alterna, länge 3,4 m, 2 wannen-eckdichtungen butyl,","dichtband",YES
"1313 156.100.185","Duschwanne Kaldewei Calima, 1000 x 750 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip","1461 015.000.000","3 wannen-eckdichtungen 3d alterna, für bodenbündige montage, mit 1","others",YES
"1313 175.100.185","Duschwanne Kaldewei Calima, 1400 x 800 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip","1313 284.100.185","ablaufdeckel kaldewei ka 300, für 1313 277 - 278, weiss, gleitschutz invisible","ablaufdeckel",YES
