Gruppe;;;;;;;Installationselement;Installationselement;Installationselement;Installationselement;Installationselement;Installationselement;Immer dabei;Immer dabei;Immer dabei;Wasseranschluss;Wasseranschluss;Rohbau-Set;Steuerung (Auswahl);Steuerung (Auswahl);Steuerung (Auswahl);Steuerung (Auswahl);Steuerung (Auswahl);Steuerung (Auswahl);Steuerung (Auswahl);Steuerung (Auswahl);Steuerung (Auswahl);Ablauf & Einlauf;Ablauf & Einlauf;Ablauf & Einlauf;Ablauf & Einlauf;Ablauf & Einlauf;Ablauf & Einlauf;Ablauf & Einlauf;Ablauf & Einlauf;Ablauf & Einlauf;Befestigung;Befestigung;Befestigung;Befestigung;Trennwand;Trennwand;Trennwand;Trennwand;Weiteres;Weiteres;Weiteres;Weiteres;Weiteres;Weiteres;Weiteres
Art-Nr;;;;;;;3612 402;3612 403;3612 404;3612 405;3612 406;3612 407;3461 110;3612 272;3612 500;3612 419;3612 420;3451 173;3451 100;3451 103;3451 106;3451 109;3451 114;3451 148;3451 158;3451 168;3451 174;3431 102;3431 110;3431 250;3441 111;3441 112;3441 120;3441 150;8111 412;8111 428;3962 155;3962 156;8211 112;8211 210;2112 890;3482 117;3482 118;3482 119;2112 889;2121 198;2141 298;2147 198;2317 387;3421 149;3421 163
Caprino Plus;3411 133;Absauge-Urinal Caprino Plus;standard, ohne Zielobjekt;7612738976804;1374.00;3612 406;;;;;X;;X;X;X;;X;;;;;;;;;;;;;;;;;;;;;X;;;X;X;X;X;;;;;;;
Caprino Plus;3411 134;Absauge-Urinal Caprino Plus;standard, ohne Zielobjekt;7612738964269;333.00;3612 403;;X;;;;;X;X;X;;;;X;X;X;X;X;X;X;X;X;;;X;;;;X;;;;X;;;X;X;X;X;;;;;;;
Fizz;3421 160;Absauge-Urinal Fizz;standard, ohne Zielobjekt;4021534278013;459.00;3612 403;;X;;;;;X;X;X;;;;X;X;X;X;X;X;X;X;X;;;X;;;;X;;X;;;;;;;;;;;X;;;;X
Lema;3411 125;Absauge-Urinal Lema;cleanplus, ohne Zielobjekt;7612738956486;1631.00;3612 406;;;;;X;;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;;;;;;;
Lema;3411 126;Absauge-Urinal Lema;cleanplus, ohne Zielobjekt;7612738956561;798.00;3612 403;;X;;;;;X;X;X;;;;X;X;X;X;X;X;X;X;X;;;X;;;;;X;;;;;;X;X;X;X;;;;;;;
Lema;3411 125;Absauge-Urinal Lema;standard, ohne Zielobjekt;7612738956479;1631.00;3612 406;;;;;X;;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;;;;;;;
Lema;3411 126;Absauge-Urinal Lema;standard, ohne Zielobjekt;7612738956554;798.00;3612 403;;X;;;;;X;X;X;;;;X;X;X;X;X;X;X;X;X;;;X;;;;;X;;;;;;X;X;X;X;;;;;;;
Lema;3411 128;Urinal LEMA;cleanplus, ohne Zielobjekt;7612738956523;1631.00;— ohne Element (Wandmontage);;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;X;;;;X;X;X;X;;;;;;;
Lema;3411 128;Urinal LEMA;standard, ohne Zielobjekt;7612738956516;1631.00;— ohne Element (Wandmontage);;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;X;;;;X;X;X;X;;;;;;;
Lema;3411 127;Urinal wasserlos Lema;cleanplus, ohne Zielobjekt;7612738956608;736.00;3612 406;;;;;X;;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;;;;;;;
Lema;3411 127;Urinal wasserlos Lema;standard, ohne Zielobjekt;7612738956592;736.00;3612 406;;;;;X;;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;;;;;;;
Me by Starck;2141 867;Absauge-Urinal Me by Starck;DuraShield;4067116506969;;3612 403;;X;;;;;X;X;X;;X;;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;
Preda;3421 201;Urinal Preda;standard;4025416529033;566.00;3612 407;;;;;;X;;X;X;;;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;
Preda;3421 202;Urinal Preda;standard;4025416529828;1512.00;3612 404;;;X;;;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Preda;3421 203;Urinal Preda;standard;4025416529873;1512.00;3612 404;;;X;;;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Selva;3421 211;Urinal Selva;standard;4025416530091;757.00;3612 407;;;;;;X;;X;X;;;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;
Selva;3421 212;Urinal Selva;standard;4025416530282;1665.00;3612 404;;;X;;;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Selva;3421 213;Urinal Selva;standard;4025416530312;1665.00;3612 404;;;X;;;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Starck 1;2147 192;Urinal Starck 1;standard;4021534103612;;3612 403;;X;;;;;X;X;X;;;;X;X;X;X;X;X;X;X;X;;;X;;;;X;;X;;;;;;;;;;;X;;;;
Starck 1;2147 193;Urinal Starck 1;standard;4021534103636;;3612 403;;X;;;;;X;X;X;;;;X;X;X;X;X;X;X;X;X;;;X;;;;X;;X;;;;;;;;;;;X;X;;;
