"Urinal Beschreibung";"Urinal GTIN";"Unsere Art-Nr";"Element Art-Nr";"Element GTIN";"Element Beschreibung"
"Urinal Alessi One, standard, ohne Zielobjekt";"7612738079284";"";"3612 403";"4064746030840";"Urinoirelement Geberit- Duofix Typ 112/130, Höhe 112 - 130 cm, Breite 50 cm, Rohbauset für Steuerung Hytronic und HyTouch, Montagerahmen, Füsse verstellbar, Absperrventil ½"""
"Urinal Alessi One, cleanplus, ohne Zielobjekt";"4014804707481";"";"3612 403";"4064746030840";"Urinoirelement Geberit- Duofix Typ 112/130, Höhe 112 - 130 cm, Breite 50 cm, Rohbauset für Steuerung Hytronic und HyTouch, Montagerahmen, Füsse verstellbar, Absperrventil ½"""
"Urinal Alessi One, standard, ohne Zielobjekt";"7612738079253";"";"3612 403";"4064746030840";"Urinoirelement Geberit- Duofix Typ 112/130, Höhe 112 - 130 cm, Breite 50 cm, Rohbauset für Steuerung Hytronic und HyTouch, Montagerahmen, Füsse verstellbar, Absperrventil ½"""
"Urinal Alessi One, cleanplus, ohne Zielobjekt";"4014804707429";"2121 197";"3612 403";"4064746030840";"Urinoirelement Geberit- Duofix Typ 112/130, Höhe 112 - 130 cm, Breite 50 cm, Rohbauset für Steuerung Hytronic und HyTouch, Montagerahmen, Füsse verstellbar, Absperrventil ½"""
"Absauge-Urinal Caprino Plus, standard, ohne Zielobjekt";"7612738964269";"3411 134";"3612 403";"4064746030840";"Urinoirelement Geberit- Duofix Typ 112/130, Höhe 112 - 130 cm, Breite 50 cm, Rohbauset für Steuerung Hytronic und HyTouch, Montagerahmen, Füsse verstellbar, Absperrventil ½"""
"Absauge-Urinal Caprino Plus, cleanplus, ohne Zielobjekt";"7612738964276";"3411 134";"3612 403";"4064746030840";"Urinoirelement Geberit- Duofix Typ 112/130, Höhe 112 - 130 cm, Breite 50 cm, Rohbauset für Steuerung Hytronic und HyTouch, Montagerahmen, Füsse verstellbar, Absperrventil ½"""
"Absauge-Urinal Caprino Plus, standard, ohne Zielobjekt";"7612738978716";"3411 131";"3612 406";"4064746030925";"Urinoirelement Geberit- Duofix, Montagerahmen, Füsse verstellbar, Breite 50 cm, Höhe 112 - 130 cm, für Urinoirs Lema, Tamaro- VS New, Caprino Plus"
"Absauge-Urinal Caprino Plus, cleanplus, ohne Zielobjekt";"7612738978723";"3411 131";"3612 406";"4064746030925";"Urinoirelement Geberit- Duofix, Montagerahmen, Füsse verstellbar, Breite 50 cm, Höhe 112 - 130 cm, für Urinoirs Lema, Tamaro- VS New, Caprino Plus"
"Absauge-Urinal Caprino Plus, standard, ohne Zielobjekt";"7612738976804";"3411 133";"3612 406";"4064746030925";"Urinoirelement Geberit- Duofix, Montagerahmen, Füsse verstellbar, Breite 50 cm, Höhe 112 - 130 cm, für Urinoirs Lema, Tamaro- VS New, Caprino Plus"
"Absauge-Urinal Caprino Plus, cleanplus, ohne Zielobjekt";"7612738976811";"3411 133";"3612 406";"4064746030925";"Urinoirelement Geberit- Duofix, Montagerahmen, Füsse verstellbar, Breite 50 cm, Höhe 112 - 130 cm, für Urinoirs Lema, Tamaro- VS New, Caprino Plus"
"Absauge-Urinal Lema, standard, ohne Zielobjekt";"7612738956479";"3411 125";"3612 406";"4064746030925";"Urinoirelement Geberit- Duofix, Montagerahmen, Füsse verstellbar, Breite 50 cm, Höhe 112 - 130 cm, für Urinoirs Lema, Tamaro- VS New, Caprino Plus"
"Absauge-Urinal Lema, cleanplus, ohne Zielobjekt";"7612738956486";"3411 125";"3612 406";"4064746030925";"Urinoirelement Geberit- Duofix, Montagerahmen, Füsse verstellbar, Breite 50 cm, Höhe 112 - 130 cm, für Urinoirs Lema, Tamaro- VS New, Caprino Plus"
