"Urinal Beschreibung";"Urinal GTIN";"Unsere Art-Nr";"Element Art-Nr";"Element GTIN";"Element Beschreibung"
"Urinal Vila 2.0, standard, ohne Zielobjekt";"7612738162023";"3421 143";"3612 403";"4064746030840";"Urinoirelement Geberit- Duofix Typ 112/130, Höhe 112 - 130 cm, Breite 50 cm, Rohbauset für Steuerung Hytronic und HyTouch, Montagerahmen, Füsse verstellbar, Absperrventil ½"""
"Urinal Vila 2.0, standard, ohne Zielobjekt";"7612738162108";"3421 144";"3612 404";"4064746030895";"Urinoirelement Geberit- Duofix, Montagerahmen, Füsse verstellbar, Wasseranschluss ½"", Breite 50 cm, Höhe 112 - 130 cm, für integrierte Steuerung, für Urinoirs Preda / Selva"
"Urinal Vila 2.0, standard, ohne Zielobjekt";"7612738162184";"3421 146";"3612 404";"4064746030895";"Urinoirelement Geberit- Duofix, Montagerahmen, Füsse verstellbar, Wasseranschluss ½"", Breite 50 cm, Höhe 112 - 130 cm, für integrierte Steuerung, für Urinoirs Preda / Selva"
"Urinal Vila 2.0, standard, ohne Zielobjekt";"7612738162269";"3421 147";"3612 404";"4064746030895";"Urinoirelement Geberit- Duofix, Montagerahmen, Füsse verstellbar, Wasseranschluss ½"", Breite 50 cm, Höhe 112 - 130 cm, für integrierte Steuerung, für Urinoirs Preda / Selva"
"Urinal Vila 2.0, standard, ohne Zielobjekt";"7612738162344";"3421 148";"3612 404";"4064746030895";"Urinoirelement Geberit- Duofix, Montagerahmen, Füsse verstellbar, Wasseranschluss ½"", Breite 50 cm, Höhe 112 - 130 cm, für integrierte Steuerung, für Urinoirs Preda / Selva"
"Urinal Modico Community, standard";"8056590015780";"";"3612 403";"4064746030840";"Urinoirelement Geberit- Duofix Typ 112/130, Höhe 112 - 130 cm, Breite 50 cm, Rohbauset für Steuerung Hytronic und HyTouch, Montagerahmen, Füsse verstellbar, Absperrventil ½"""
"Urinal Modico Community, standard";"8056590015827";"";"3612 403";"4064746030840";"Urinoirelement Geberit- Duofix Typ 112/130, Höhe 112 - 130 cm, Breite 50 cm, Rohbauset für Steuerung Hytronic und HyTouch, Montagerahmen, Füsse verstellbar, Absperrventil ½"""
"Urinal Modico Community, standard";"8032937818283";"";"3612 403";"4064746030840";"Urinoirelement Geberit- Duofix Typ 112/130, Höhe 112 - 130 cm, Breite 50 cm, Rohbauset für Steuerung Hytronic und HyTouch, Montagerahmen, Füsse verstellbar, Absperrventil ½"""
"Urinal Modico Community, standard";"8032937818306";"";"3612 403";"4064746030840";"Urinoirelement Geberit- Duofix Typ 112/130, Höhe 112 - 130 cm, Breite 50 cm, Rohbauset für Steuerung Hytronic und HyTouch, Montagerahmen, Füsse verstellbar, Absperrventil ½"""
"Urinal Architectura, standard";"4051202232108";"";"3612 403";"4064746030840";"Urinoirelement Geberit- Duofix Typ 112/130, Höhe 112 - 130 cm, Breite 50 cm, Rohbauset für Steuerung Hytronic und HyTouch, Montagerahmen, Füsse verstellbar, Absperrventil ½"""
"Urinal Architectura, cleaneffect";"4051202232115";"";"3612 403";"4064746030840";"Urinoirelement Geberit- Duofix Typ 112/130, Höhe 112 - 130 cm, Breite 50 cm, Rohbauset für Steuerung Hytronic und HyTouch, Montagerahmen, Füsse verstellbar, Absperrventil ½"""
"Urinal Architectura, standard";"4051202242589";"";"3612 403";"4064746030840";"Urinoirelement Geberit- Duofix Typ 112/130, Höhe 112 - 130 cm, Breite 50 cm, Rohbauset für Steuerung Hytronic und HyTouch, Montagerahmen, Füsse verstellbar, Absperrventil ½"""
"Urinal Architectura, cleaneffect";"4051202242572";"";"3612 403";"4064746030840";"Urinoirelement Geberit- Duofix Typ 112/130, Höhe 112 - 130 cm, Breite 50 cm, Rohbauset für Steuerung Hytronic und HyTouch, Montagerahmen, Füsse verstellbar, Absperrventil ½"""
"Absauge-Urinal O.Novo, standard";"4051202555160";"";"3612 403";"4064746030840";"Urinoirelement Geberit- Duofix Typ 112/130, Höhe 112 - 130 cm, Breite 50 cm, Rohbauset für Steuerung Hytronic und HyTouch, Montagerahmen, Füsse verstellbar, Absperrventil ½"""
"Absauge-Urinal O.Novo, cleaneffect";"4051202555191";"";"3612 403";"4064746030840";"Urinoirelement Geberit- Duofix Typ 112/130, Höhe 112 - 130 cm, Breite 50 cm, Rohbauset für Steuerung Hytronic und HyTouch, Montagerahmen, Füsse verstellbar, Absperrventil ½"""
"Absauge-Urinal O.Novo, standard";"4051202555771";"";"";"";""
"Absauge-Urinal O.Novo, cleaneffect";"4051202555740";"";"";"";""
"Urinal Subway, standard";"4022693615121";"";"3612 403";"4064746030840";"Urinoirelement Geberit- Duofix Typ 112/130, Höhe 112 - 130 cm, Breite 50 cm, Rohbauset für Steuerung Hytronic und HyTouch, Montagerahmen, Füsse verstellbar, Absperrventil ½"""
"Urinal Subway, cleaneffect";"4022693615176";"";"3612 403";"4064746030840";"Urinoirelement Geberit- Duofix Typ 112/130, Höhe 112 - 130 cm, Breite 50 cm, Rohbauset für Steuerung Hytronic und HyTouch, Montagerahmen, Füsse verstellbar, Absperrventil ½"""
"Urinal Subway, standard";"4022693615022";"2317 385";"3612 403";"4064746030840";"Urinoirelement Geberit- Duofix Typ 112/130, Höhe 112 - 130 cm, Breite 50 cm, Rohbauset für Steuerung Hytronic und HyTouch, Montagerahmen, Füsse verstellbar, Absperrventil ½"""
"Urinal Subway, cleaneffect";"4022693615077";"2317 385";"3612 403";"4064746030840";"Urinoirelement Geberit- Duofix Typ 112/130, Höhe 112 - 130 cm, Breite 50 cm, Rohbauset für Steuerung Hytronic und HyTouch, Montagerahmen, Füsse verstellbar, Absperrventil ½"""
"Absauge-Urinal Venticello, standard";"4051202562120";"";"3612 403";"4064746030840";"Urinoirelement Geberit- Duofix Typ 112/130, Höhe 112 - 130 cm, Breite 50 cm, Rohbauset für Steuerung Hytronic und HyTouch, Montagerahmen, Füsse verstellbar, Absperrventil ½"""
"Absauge-Urinal Venticello, cleaneffect";"4051202562137";"";"3612 403";"4064746030840";"Urinoirelement Geberit- Duofix Typ 112/130, Höhe 112 - 130 cm, Breite 50 cm, Rohbauset für Steuerung Hytronic und HyTouch, Montagerahmen, Füsse verstellbar, Absperrventil ½"""
"Absauge-Urinal Venticello, standard";"4051202562151";"";"3612 403";"4064746030840";"Urinoirelement Geberit- Duofix Typ 112/130, Höhe 112 - 130 cm, Breite 50 cm, Rohbauset für Steuerung Hytronic und HyTouch, Montagerahmen, Füsse verstellbar, Absperrventil ½"""
"Absauge-Urinal Venticello, cleaneffect";"4051202562175";"";"3612 403";"4064746030840";"Urinoirelement Geberit- Duofix Typ 112/130, Höhe 112 - 130 cm, Breite 50 cm, Rohbauset für Steuerung Hytronic und HyTouch, Montagerahmen, Füsse verstellbar, Absperrventil ½"""
