Typ,Artikelnummer,Menge,Bezeichnung
,2113 200.100.000,1.0,"Wandbecken Laufen Meda, Armaturenloch, 45 x 35 cm, mit Überlauf, Weiss"
,,,
,2113 205.100.000,1.0,"Wandbecken Laufen Meda, ohne Armaturenloch, 46 x 23,5 cm, ohne"
,,,
,2113 026.100.000,1.0,"Waschtisch Laufen Meda, Armaturenloch, 120 x 46 cm, mit Überlauf, Ablage"
,,,
,2113 233.100.000,1.0,"Waschtisch Laufen Meda, Armaturenloch, 80 x 46 cm, ohne Überlauf,"
,,,
,2113 007.100.000,1.0,"Waschtisch Laufen Meda, mit 3 Armaturenlöcher, 60 x 46 cm, ohne"
,,,
,2113 005.100.000,1.0,"Waschtisch Laufen Meda, Armaturenloch, 60 x 46 cm, ohne Überlauf, Ablage"
,,,
,2113 227.100.000,1.0,"Waschtisch Laufen Meda, Armaturenloch, 80 x 46 cm, ohne Überlauf,"
,,,
,2113 226.100.000,1.0,"Waschtisch Laufen Meda, ohne Armaturenloch, 80 x 46 cm, mit"
,,,
,2113 252.100.000,1.0,"Doppelwaschtisch Laufen Meda, ohne Armaturenloch, 130 x 46 cm, mit"
,,,
,2113 028.100.000,1.0,"Waschtisch Laufen Meda, mit 3 Armaturenlöcher, 120 x 46 cm, mit"
,,,
,2113 213.100.000,1.0,"Waschtisch Laufen Meda, ohne Armaturenloch, 60 x 46 cm, ohne"
,,,
,2113 018.100.000,1.0,"Waschtisch Laufen Meda, ohne Armaturenloch, 100 x 46 cm, ohne"
,,,
,2113 031.100.000,1.0,"Waschtisch Laufen Meda, mit 3 Armaturenlöcher, 120 x 46 cm, ohne"
,,,
,2113 006.100.000,1.0,"Waschtisch Laufen Meda, ohne Armaturenloch, 60 x 46 cm, ohne"
,,,
,2113 024.100.000,1.0,"Waschtisch Laufen Meda, ohne Armaturenloch, 100 x 46 cm, ohne"
,,,
,2113 221.100.000,1.0,"Waschtisch Laufen Meda, Armaturenloch, 80 x 46 cm, ohne Überlauf, Weiss"
,,,
,2113 238.100.000,1.0,"Waschtisch Laufen Meda, ohne Armaturenloch, 100 x 46 cm, mit"
,,,
,2113 237.100.000,1.0,"Waschtisch Laufen Meda, mit 3 Armaturenlöcher, 100 x 46 cm, mit"
,,,
,2113 041.100.000,1.0,"Auflegewaschtisch Laufen Meda, Armaturenloch, 60 x 46 cm, Höhe 8 cm,"
,,,
,2113 033.100.000,1.0,"Waschtisch Laufen Meda, ohne Armaturenloch, 120 x 46 cm, mit"
,,,
,2113 232.100.000,1.0,"Waschtisch Laufen Meda, ohne Armaturenloch, 80 x 46 cm, mit"
,,,
,2113 242.100.000,1.0,"Waschtisch Laufen Meda, Armaturenloch, 120 x 46 cm, mit Überlauf, Weiss"
,,,
,2113 245.100.000,1.0,"Waschtisch Laufen Meda, ohne Armaturenloch, 120 x 46 cm, mit"
,,,
,2113 212.100.000,1.0,"Waschtisch Laufen Meda, Armaturenloch, 60 x 46 cm, ohne Überlauf, Weiss"
,,,
,2113 044.100.000,1.0,"Auflegewaschtisch Laufen Meda, Armaturenloch, 60 x 46 cm, Höhe 8 cm,"
,,,
,2113 236.100.000,1.0,"Waschtisch Laufen Meda, Armaturenloch, 100 x 46 cm, mit Überlauf, Weiss"
,,,
,2113 029.100.000,1.0,"Waschtisch Laufen Meda, Armaturenloch, 120 x 46 cm, ohne Überlauf, Ablage"
,,,
,2113 013.100.000,1.0,"Waschtisch Laufen Meda, mit 3 Armaturenlöcher, 60 x 46 cm, ohne"
,,,
,2113 214.100.000,1.0,"Waschtisch Laufen Meda, Armaturenloch, 65 x 46 cm, mit Überlauf, Weiss"
,,,
