ArtNr,Label,Brand,Size,Hahnloch,Ueberlauf,Ablage
2113 046.100.000,"Auflegewaschtisch Laufen Meda, mit 3 Armaturenlöcher, 60 x 46 cm, Höhe 8 cm, mit Überlauf, Ablage links Weiss",Laufen,60 x 46,3,mit,links

2113 000.100.000,"Wandbecken Laufen Meda, Armaturenloch links, 46 x 23,5 cm, ohne Überlauf Weiss",Laufen,,1,ohne,links

2113 313.536.000,"Hochschrank Laufen Meda, Breite 35,3 cm, Höhe 165 cm, Tiefe 33,5 cm, 1 Türe, Soft- Close, Griffleiste, 4 Glasfachböden fest, Befestigungsmaterial, Band rechts Weiss matt",Laufen,,,,

2113 310.536.000,"Waschtischmöbel Laufen Meda, Breite 118,2 cm, Höhe 51,5 cm, Tiefe 44,8 cm, 2 Schubladen, Griffleisten, Soft- Close, Schubladenorganiser, für Möbelsifon, zu 2113 242 / 243 / 244 / 245 / 246 / 247 / 248 / 249, Befestigungsmaterial Weiss matt",Laufen,,,,

2113 302.536.000,"Waschtischmöbel Laufen Meda, Breite 43,7 cm, Höhe 51,5 cm, Tiefe 33,9 cm, 1 Türe, Griffleiste, Soft- Close, 1 Glastablar fest, für Möbelsifon, zu 2113 200 / 201 / 202 / 203, Befestigungsmaterial, Band rechts Weiss matt",Laufen,,,,

2113 314.536.000,"Waschtischmöbel Laufen Meda, Breite 43,7 cm, Höhe 51,5 cm, Tiefe 22,2 cm, 1 Türe, Band links, Griffleiste, Soft- Close, 1 Glastablar fest, für Möbelsifon, zu 2113 000 / 001, Befestigungsmaterial Weiss matt",Laufen,,,,

2113 315.536.000,"Waschtischmöbel Laufen Meda, Breite 58,4 cm, Höhe 51,5 cm, Tiefe 44,8 cm, 2 Schubladen, Griffleisten, Soft- Close, Schubladenorganiser, für Möbelsifon, zu 2113 002 / 003 / 004 / 005 / 006 / 007, Befestigungsmaterial Weiss matt",Laufen,,,,
