ArtNr,Label,Brand,Size,Hahnloch,Ueberlauf,Ablage
2113 048.100.000,"Auflegewaschtisch Laufen Meda, ohne Armaturenloch, 60 x 46 cm, Höhe 8 cm, ohne Überlauf, Ablage links Weiss",Laufen,60 x 46,ohne,ohne,links

2113 211.100.000,"Waschtisch Laufen Meda, ohne Armaturenloch, 60 x 46 cm, mit Überlauf Umweltdeklaration EPD Weiss",Laufen,60 x 46,ohne,mit,

2113 248.100.000,"Waschtisch Laufen Meda, mit 3 Armaturenlöcher, 120 x 46 cm, ohne Überlauf Umweltdeklaration EPD Weiss",Laufen,120 x 46,3,ohne,

2113 230.100.000,"Waschtisch Laufen Meda, Armaturenloch, 80 x 46 cm, mit Überlauf, Abstellfläche rechts Umweltdeklaration EPD Weiss",Laufen,80 x 46,1,mit,

2113 027.100.000,"Waschtisch Laufen Meda, ohne Armaturenloch, 120 x 46 cm, mit Überlauf, Ablage rechts Weiss",Laufen,120 x 46,ohne,mit,rechts

2113 200.100.000,"Wandbecken Laufen Meda, Armaturenloch, 45 x 35 cm, mit Überlauf Umweltdeklaration EPD Weiss",Laufen,45 x 35,1,mit,

2113 205.100.000,"Wandbecken Laufen Meda, ohne Armaturenloch, 46 x 23,5 cm, ohne Überlauf Umweltdeklaration EPD Weiss",Laufen,,ohne,ohne,

2113 026.100.000,"Waschtisch Laufen Meda, Armaturenloch, 120 x 46 cm, mit Überlauf, Ablage rechts Weiss",Laufen,120 x 46,1,mit,rechts

2113 233.100.000,"Waschtisch Laufen Meda, Armaturenloch, 80 x 46 cm, ohne Überlauf, Abstellfläche rechts Umweltdeklaration EPD Weiss",Laufen,80 x 46,1,ohne,

2113 263.100.000,"Auflegewaschtisch Laufen Meda, Armaturenloch, 60 x 46 cm, Höhe 11,5 cm, mit Überlauf, inkl. Schablone, Unterteil geschliffen, Befestigungsmaterial Umweltdeklaration EPD Weiss",Laufen,60 x 46,1,mit,

2113 007.100.000,"Waschtisch Laufen Meda, mit 3 Armaturenlöcher, 60 x 46 cm, ohne Überlauf, Ablage rechts Weiss",Laufen,60 x 46,3,ohne,rechts

2113 005.100.000,"Waschtisch Laufen Meda, Armaturenloch, 60 x 46 cm, ohne Überlauf, Ablage rechts Weiss",Laufen,60 x 46,1,ohne,rechts

2113 227.100.000,"Waschtisch Laufen Meda, Armaturenloch, 80 x 46 cm, ohne Überlauf, Abstellfläche links Umweltdeklaration EPD Weiss",Laufen,80 x 46,1,ohne,

2113 226.100.000,"Waschtisch Laufen Meda, ohne Armaturenloch, 80 x 46 cm, mit Überlauf, Abstellfläche links Umweltdeklaration EPD Weiss",Laufen,80 x 46,ohne,mit,

2113 252.100.000,"Doppelwaschtisch Laufen Meda, ohne Armaturenloch, 130 x 46 cm, mit Überlauf Umweltdeklaration EPD Weiss",Laufen,130 x 46,ohne,mit,

2113 028.100.000,"Waschtisch Laufen Meda, mit 3 Armaturenlöcher, 120 x 46 cm, mit Überlauf, Ablage rechts Weiss",Laufen,120 x 46,3,mit,rechts

2113 213.100.000,"Waschtisch Laufen Meda, ohne Armaturenloch, 60 x 46 cm, ohne Überlauf Umweltdeklaration EPD Weiss",Laufen,60 x 46,ohne,ohne,

2113 266.100.000,"Auflegewaschtisch Laufen Meda, ohne Armaturenloch, 60 x 46 cm, Höhe 11,5 cm, ohne Überlauf, inkl. Schablone, Unterteil geschliffen, Befestigungsmaterial Umweltdeklaration EPD Weiss",Laufen,60 x 46,ohne,ohne,

2113 018.100.000,"Waschtisch Laufen Meda, ohne Armaturenloch, 100 x 46 cm, ohne Überlauf, Ablage rechts Weiss",Laufen,100 x 46,ohne,ohne,rechts

2113 031.100.000,"Waschtisch Laufen Meda, mit 3 Armaturenlöcher, 120 x 46 cm, ohne Überlauf, Ablage rechts Weiss",Laufen,120 x 46,3,ohne,rechts

2113 006.100.000,"Waschtisch Laufen Meda, ohne Armaturenloch, 60 x 46 cm, ohne Überlauf, Ablage rechts Weiss",Laufen,60 x 46,ohne,ohne,rechts

2113 024.100.000,"Waschtisch Laufen Meda, ohne Armaturenloch, 100 x 46 cm, ohne Überlauf, Ablage links Weiss",Laufen,100 x 46,ohne,ohne,links

2113 221.100.000,"Waschtisch Laufen Meda, Armaturenloch, 80 x 46 cm, ohne Überlauf Umweltdeklaration EPD Weiss",Laufen,80 x 46,1,ohne,

2113 238.100.000,"Waschtisch Laufen Meda, ohne Armaturenloch, 100 x 46 cm, mit Überlauf Umweltdeklaration EPD Weiss",Laufen,100 x 46,ohne,mit,

2113 262.100.000,"Auflegewaschtisch Laufen Meda, ohne Armaturenloch, 55 x 46 cm, Höhe 11,5 cm, ohne Überlauf, inkl. Schablone, Unterteil geschliffen, Befestigungsmaterial Umweltdeklaration EPD Weiss",Laufen,55 x 46,ohne,ohne,

