ArtNr,Label,Hersteller,Size,Hahnloch,Ueberlauf,Ablage
2232 431.105.000,"Waschtisch Catalano Sfera, ohne Armaturenloch, 100 x 50 cm, ohne Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Catalano,100 x 50,ohne,ohne,

2231 820.105.000,"Waschtisch Catalano Zero, ohne Armaturenloch, 100 x 50 cm, mit Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Catalano,100 x 50,ohne,mit,

2231 723.105.000,"Wandbecken Catalano Green, Armaturenloch, 45 x 35 cm, ohne Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Catalano,45 x 35,1,ohne,

2231 801.105.000,"Waschtisch Catalano Zero, Armaturenloch, 50 x 50 cm, mit Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Catalano,50 x 50,1,mit,

2231 715.105.000,"Waschtisch Catalano Green, ohne Armaturenloch, 60 x 47 cm, ohne Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Catalano,60 x 47,ohne,ohne,

2231 821.105.000,"Waschtisch Catalano Zero, Armaturenloch, 125 x 50 cm, mit Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Catalano,125 x 50,1,mit,

2232 433.105.000,"Waschtisch Catalano Sfera, Armaturenloch, 75 x 50 cm, ohne Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Catalano,75 x 50,1,ohne,

2231 815.105.000,"Waschtisch Catalano Zero, Armaturenloch, 100 x 50 cm, mit Überlauf, Abstellfläche rechts, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Catalano,100 x 50,1,mit,rechts

2231 829.105.000,"Waschbecken Catalano Comfort, 40 x 23 cm, ohne Armaturenloch, ohne Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Catalano,40 x 23,ohne,ohne,

2231 824.105.000,"Doppelwaschtisch Catalano Zero, ohne Armaturenlöcher, 125 x 50 cm, mit Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Catalano,125 x 50,,mit,

2231 826.105.000,"Doppelwaschtisch Catalano Zero, ohne Armaturenlöcher, 150 x 50 cm, mit Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Catalano,150 x 50,,mit,

2231 720.105.000,"Waschtisch Catalano Green, mit 2 Armaturenlöcher, 100 x 47 cm, ohne Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Catalano,100 x 47,2,ohne,

2231 716.105.000,"Waschtisch Catalano Green, Armaturenloch, 80 x 47 cm, ohne Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Catalano,80 x 47,1,ohne,

2231 817.105.000,"Waschtisch Catalano Zero, Armaturenloch, 100 x 50 cm, mit Überlauf, Abstellfläche links, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Catalano,100 x 50,1,mit,links

2232 434.105.000,"Waschtisch Catalano Sfera, Armaturenloch, 100 x 50 cm, ohne Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Catalano,100 x 50,1,ohne,

2231 818.105.000,"Waschtisch Catalano Zero, ohne Armaturenloch, 100 x 50 cm, mit Überlauf, Abstellfläche links, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Catalano,100 x 50,ohne,mit,links

2231 807.105.000,"Waschtisch Catalano Zero, Armaturenloch, 100 x 50 cm, mit Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Catalano,100 x 50,1,mit,
