ArtNr,Label,Hersteller,Size,Hahnloch,Ueberlauf,Ablage
2110 315.105.000,"Waschtisch Alterna dinea, ohne Armaturenloch, 120 x 46 cm, mit Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Alterna,120 x 46,ohne,mit,
,,,,,,
2233 116.105.000,"Waschtisch Alterna elena, Armaturenloch, 100 x 47 cm, mit Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Alterna,100 x 47,1,mit,
,,,,,,
2233 119.105.000,"Doppelwaschtisch Alterna elena, mit 2 Armaturenlöcher, 120 x 47 cm, mit Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Alterna,120 x 47,2,mit,
,,,,,,
2231 602.105.000,"Handwaschbecken Alterna elena, ohne Armaturenloch, 40 x 23 cm, ohne Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Alterna,40 x 23,ohne,ohne,
,,,,,,
2116 908.105.000,"Waschtisch Alterna modena S, ohne Armaturenloch, 100 x 50 cm, mit Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Alterna,100 x 50,ohne,mit,
,,,,,,
2110 316.105.000,"Doppelwaschtisch Alterna dinea, mit 2 Armaturenlöcher, 120 x 46 cm, mit Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Alterna,120 x 46,2,mit,
,,,,,,
2110 301.105.000,"Wandbecken Alterna dinea, ohne Armaturenloch, 45 x 35 cm, mit Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Alterna,45 x 35,ohne,mit,
,,,,,,
2233 115.105.000,"Waschtisch Alterna elena, Armaturenloch, 80 x 47 cm, mit Überlauf, Abstellfläche rechts, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Alterna,80 x 47,1,mit,rechts
,,,,,,
2233 102.105.000,"Wandbecken Alterna elena, ohne Armaturenloch, 40 x 32 cm, ohne Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Alterna,40 x 32,ohne,ohne,
,,,,,,
2116 809.105.000,"Waschtisch Alterna modena, ohne Armaturenloch, 50 x 40 cm, mit Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Alterna,50 x 40,ohne,mit,
,,,,,,
2116 822.105.000,"Doppelwaschtisch Alterna modena, 125 x 48 cm, mit Überlauf, ohne Armaturenlöcher Befestigungsmaterial Weiss Cleaneffekt",Alterna,125 x 48,,mit,
,,,,,,
